"","Outcome","Arm","Group","Coefficient","Estimate","Std..Error","Pr...z..","EstOverSE"
"1","%CD14pMono","B","MVA85A","(Intercept)",2.12755248833211,0.0948585867130106,2.06697556160103e-111,22.4286758010521
"2","%CD14pMono","B","MVA85A","TreatmentMVA85A",-0.177075776992279,0.110738552585311,0.109810908721831,-1.59904362896438
"3","%CD14pMono","B","MVA85A","Time56",-0.174094159321374,0.10649886831338,0.10211104800803,-1.63470431262322
"4","%CD14pMono","B","MVA85A","GenderM",-0.135952274998212,0.109805552857519,0.21567216364942,-1.23811839620371
"5","%CD14pMono","B","MVA85A","TreatmentMVA85A:Time56",0.0946867007403852,0.12534406925861,0.450000443335275,0.755414287253014
"6","%CD14pMono","B","MVA85A","Time56:GenderM",0.206527120285425,0.124174012376536,0.096270952641531,1.66320727125389
"7","%CD14pMono","B","QFT","(Intercept)",2.07405369531816,0.093032354394963,4.23481527978564e-110,22.2938966643034
"8","%CD14pMono","B","QFT","QFTPositive",-0.0766137452369802,0.111903458200326,0.49357020775365,-0.684641444233374
"9","%CD14pMono","B","QFT","Time56",-0.12491727628988,0.105793545866999,0.237696241505157,-1.18076462289034
"10","%CD14pMono","B","QFT","GenderM",-0.117198801191841,0.109822656732553,0.285897721857422,-1.06716414152364
"11","%CD14pMono","B","QFT","QFTPositive:Time56",-0.00180454051625745,0.124911063555827,0.988473679630593,-0.0144466027659026
"12","%CD14pMono","B","QFT","Time56:GenderM",0.189771120907429,0.123783080345287,0.125252649800309,1.53309418684743
"13","%CD14pMono","B","FA - FA","(Intercept)",1.98891692270126,0.0993619216737579,3.92445966678408e-89,20.0168926807959
"14","%CD14pMono","B","FA - FA","FA1",0.121273788067506,0.158414702495958,0.443946312072109,0.765546291832356
"15","%CD14pMono","B","FA - FA","FA2",0.221812073802722,0.149735130569071,0.138509883755066,1.48136294375089
"16","%CD14pMono","B","FA - FA","FA3",-0.12562156548187,0.140309772190609,0.370618260173231,-0.8953158680296
"17","%CD14pMono","B","FA - FA","Time56",-0.133285229081209,0.117716625672518,0.257527274880316,-1.13225492422797
"18","%CD14pMono","B","FA - FA","GenderM",-0.0653744203748694,0.111660168324459,0.55822726813243,-0.585476641812918
"19","%CD14pMono","B","FA - FA","FA1:Time56",-0.137647273917952,0.181467653237761,0.448138327977025,-0.758522367276135
"20","%CD14pMono","B","FA - FA","FA2:Time56",0.0406387704772931,0.172740654378689,0.814007819285764,0.235258866093
"21","%CD14pMono","B","FA - FA","FA3:Time56",0.123144569817507,0.158927091681498,0.438428624298108,0.774849451497538
"22","%CD14pMono","B","FA - FA","Time56:GenderM",0.167255819874549,0.127813360767327,0.190671853823582,1.3085941788122
"23","%CD14pMono","B","FA - BA","(Intercept)",1.86329049715319,0.129105700364239,3.24152580659365e-47,14.4322868153489
"24","%CD14pMono","B","FA - BA","FA0",0.125623673472476,0.140309822545599,0.370610403013039,0.895330570542555
"25","%CD14pMono","B","FA - BA","FA1",0.24689752022302,0.165920193796544,0.136737746461867,1.48804985441238
"26","%CD14pMono","B","FA - BA","FA2",0.347432874506315,0.159840124941779,0.0297331292695946,2.17362739570471
"27","%CD14pMono","B","FA - BA","Time56",-0.0101406775143438,0.146707899111731,0.944892866923613,-0.0691215508895041
"28","%CD14pMono","B","FA - BA","GenderM",-0.065368873041866,0.11166021299183,0.55826082183175,-0.585426727124807
"29","%CD14pMono","B","FA - BA","FA0:Time56",-0.123143061263443,0.158927457266703,0.438435287237158,-0.774838176997894
"30","%CD14pMono","B","FA - BA","FA1:Time56",-0.260791769738762,0.189547075021407,0.168862479913277,-1.37586807767573
"31","%CD14pMono","B","FA - BA","FA2:Time56",-0.0825071308034507,0.183618983582012,0.65318728386582,-0.449338784007589
"32","%CD14pMono","B","FA - BA","Time56:GenderM",0.1672565434276,0.127813698661973,0.190671107688176,1.30859638034528
"33","%CD16ppPMN","B","MVA85A","(Intercept)",3.30209187313562,0.0910033163406996,2.74933783375488e-288,36.2854015206786
"34","%CD16ppPMN","B","MVA85A","TreatmentMVA85A",-0.0706635772405952,0.108732205841073,0.515765630836564,-0.649886357900984
"35","%CD16ppPMN","B","MVA85A","Time56",0.076314868237175,0.103641840833303,0.461528299004251,0.736332620335447
"36","%CD16ppPMN","B","MVA85A","GenderM",-0.263389845843772,0.108282984775826,0.0149982477378114,-2.4324213669309
"37","%CD16ppPMN","B","MVA85A","TreatmentMVA85A:Time56",-0.0222821109175119,0.126705994472517,0.860406443782652,-0.175856801489728
"38","%CD16ppPMN","B","MVA85A","Time56:GenderM",0.0441770226735377,0.126076669117098,0.726039967814941,0.350398079064945
"39","%CD16ppPMN","B","QFT","(Intercept)",3.18673053648644,0.0899523315088736,6.5856789100286e-275,35.4268809160558
"40","%CD16ppPMN","B","QFT","QFTPositive",0.170585891576069,0.107193794828162,0.111524438479986,1.59137841746836
"41","%CD16ppPMN","B","QFT","Time56",0.133639297835573,0.102283090374691,0.191361181478077,1.30656296506114
"42","%CD16ppPMN","B","QFT","GenderM",-0.256646264603786,0.107069976532523,0.0165301213820696,-2.3969956183359
"43","%CD16ppPMN","B","QFT","QFTPositive:Time56",-0.144323846598231,0.12271067521733,0.2395424750703,-1.17613114215713
"44","%CD16ppPMN","B","QFT","Time56:GenderM",0.0426519668855515,0.122816336635312,0.72837908157287,0.347282520013614
"45","%CD16ppPMN","B","FA - FA","(Intercept)",3.28491656759206,0.0903468041398537,1.89614864193475e-289,36.3589680771344
"46","%CD16ppPMN","B","FA - FA","FA1",0.103349584478733,0.145489136972719,0.477481257353261,0.710359457958101
"47","%CD16ppPMN","B","FA - FA","FA2",0.0869201288346725,0.139880287187285,0.534343439510254,0.621389407917753
"48","%CD16ppPMN","B","FA - FA","FA3",-0.386905510935076,0.137634073997868,0.00493698008782225,-2.81111718702063
"49","%CD16ppPMN","B","FA - FA","Time56",0.00105571622380363,0.100867565871576,0.991649205673162,0.0104663596735126
"50","%CD16ppPMN","B","FA - FA","GenderM",-0.156324408650921,0.105995724817012,0.140261465950619,-1.47481805441488
"51","%CD16ppPMN","B","FA - FA","FA1:Time56",0.112116795034188,0.155957610512541,0.472207005714049,0.718892746982505
"52","%CD16ppPMN","B","FA - FA","FA2:Time56",-0.114046416413516,0.159328785433741,0.474119225366235,-0.715792919045023
"53","%CD16ppPMN","B","FA - FA","FA3:Time56",0.422055256462561,0.149999263757324,0.00489725459265553,2.81371552026671
"54","%CD16ppPMN","B","FA - FA","Time56:GenderM",-0.0678058675310039,0.116356932512145,0.560068175508704,-0.582740246473293
"55","%CD16ppPMN","B","FA - BA","(Intercept)",2.89801026729273,0.12736749031294,1.33590177743929e-114,22.7531394406245
"56","%CD16ppPMN","B","FA - BA","FA0",0.386906752431122,0.137634122101871,0.00493685675172074,2.81112522478075
"57","%CD16ppPMN","B","FA - BA","FA1",0.490259452153877,0.158487993376053,0.00197907973515176,3.0933538983651
"58","%CD16ppPMN","B","FA - BA","FA2",0.473825229020754,0.154490613294784,0.00216207067629484,3.06701629902035
"59","%CD16ppPMN","B","FA - BA","Time56",0.42311022452673,0.136351278991445,0.00191511702635242,3.10308951743149
"60","%CD16ppPMN","B","FA - BA","GenderM",-0.156327527878916,0.10599572264251,0.140253544198102,-1.47484751253745
"61","%CD16ppPMN","B","FA - BA","FA0:Time56",-0.422055253822356,0.149998977768119,0.00489717314146703,-2.81372086731687
"62","%CD16ppPMN","B","FA - BA","FA1:Time56",-0.309936504127086,0.16840384043461,0.0657042403558599,-1.84043608107282
"63","%CD16ppPMN","B","FA - BA","FA2:Time56",-0.536097089413562,0.174000009841679,0.00206294467683383,-3.08101758098376
"64","%CD16ppPMN","B","FA - BA","Time56:GenderM",-0.0677984466524349,0.116356600068134,0.560109995483369,-0.58267813439663
"65","%CD19pBcells","B","MVA85A","(Intercept)",2.79001070826761,0.0869623042026934,7.61432335046707e-226,32.0829896798112
"66","%CD19pBcells","B","MVA85A","TreatmentMVA85A",0.0746297025341136,0.099062869640384,0.451235437668348,0.753356962149722
"67","%CD19pBcells","B","MVA85A","Time56",-0.0167459381473365,0.0594072753057125,0.77803274554277,-0.281883625551941
"68","%CD19pBcells","B","MVA85A","GenderM",0.103768922537201,0.098844910976297,0.293802933995215,1.04981552932032
"69","%CD19pBcells","B","MVA85A","TreatmentMVA85A:Time56",-0.0242009285986622,0.0671322852875728,0.718476155135491,-0.3604961233629
"70","%CD19pBcells","B","MVA85A","Time56:GenderM",-0.0216435462635166,0.067134673623586,0.747157272160747,-0.322389982632056
"71","%CD19pBcells","B","QFT","(Intercept)",2.83050192057202,0.084152651259357,5.11026168797778e-248,33.6353267331823
"72","%CD19pBcells","B","QFT","QFTPositive",-0.00422575238020009,0.0987373296825835,0.965862621720943,-0.0427979204398666
"73","%CD19pBcells","B","QFT","Time56",-0.103170132681014,0.0595693385091043,0.0832854040638027,-1.73193349570679
"74","%CD19pBcells","B","QFT","GenderM",0.0982451705635393,0.0982105900795052,0.317140139440237,1.0003521054502
"75","%CD19pBcells","B","QFT","QFTPositive:Time56",0.147696878693599,0.0668819974076141,0.0272219468423725,2.20832039141201
"76","%CD19pBcells","B","QFT","Time56:GenderM",-0.0138033769323213,0.0670484580813694,0.836891168337719,-0.205871653537052
"77","%CD19pBcells","B","FA - FA","(Intercept)",2.77490145923975,0.0887749076646007,1.75332239897415e-214,31.2577228435266
"78","%CD19pBcells","B","FA - FA","FA1",0.110985199798982,0.143820997255714,0.440298160217258,0.771689822186744
"79","%CD19pBcells","B","FA - FA","FA2",-0.0528782670489512,0.13994249932955,0.705536752602977,-0.377857100611219
"80","%CD19pBcells","B","FA - FA","FA3",0.265254262560356,0.12296995766228,0.0310005553411537,2.15706557603964
"81","%CD19pBcells","B","FA - FA","Time56",-0.028745784862186,0.0685635107068133,0.675027753227283,-0.419257773790302
"82","%CD19pBcells","B","FA - FA","GenderM",0.0249423066885087,0.100251605493874,0.803517750107407,0.248797079763802
"83","%CD19pBcells","B","FA - FA","FA1:Time56",-0.0621183629614354,0.107650490060119,0.56391416539604,-0.577037437792849
"84","%CD19pBcells","B","FA - FA","FA2:Time56",0.105125950083892,0.110761023709109,0.342557529927512,0.949124038073025
"85","%CD19pBcells","B","FA - FA","FA3:Time56",-0.0590654326398158,0.0909264324067402,0.515953318057699,-0.649595844425073
"86","%CD19pBcells","B","FA - FA","Time56:GenderM",0.00920031334128343,0.0755713711409941,0.903102264985946,0.121743369246514
"87","%CD19pBcells","B","FA - BA","(Intercept)",3.0404960727285,0.111999841709849,2.72302353880446e-162,27.147324731095
"88","%CD19pBcells","B","FA - BA","FA0",-0.266504770717086,0.122515494419673,0.0296095890114424,-2.17527400905049
"89","%CD19pBcells","B","FA - BA","FA1",-0.155004923002915,0.146465527537199,0.289917276471476,-1.05830310796885
"90","%CD19pBcells","B","FA - BA","FA2",-0.318529233917281,0.144008815483822,0.0269754301875225,-2.21187316100843
"91","%CD19pBcells","B","FA - BA","Time56",-0.0881077036249841,0.0768750292392006,0.25174714407346,-1.14611603399633
"92","%CD19pBcells","B","FA - BA","GenderM",0.0235130555851226,0.0998391860582642,0.813813471081365,0.235509287619801
"93","%CD19pBcells","B","FA - BA","FA0:Time56",0.0596683424607584,0.0860412422727886,0.488005005882777,0.69348536683819
