"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%CD14pMono","MVA85A","(Intercept)",2.1275524883321055,0.0948585867130106,22.428675801052126,2.0669755616010285e-111,1.941633074750235,2.313471901913976,"B",FALSE
"%CD14pMono","MVA85A","TreatmentMVA85A",-0.1770757769922788,0.1107385525853112,-1.5990436289643795,0.10981090872183107,-0.3941193517595836,0.039967797775026015,"B",FALSE
"%CD14pMono","MVA85A","Time56",-0.1740941593213739,0.10649886831337983,-1.6347043126232152,0.10211104800803,-0.3828281056098723,0.0346397869671245,"B",FALSE
"%CD14pMono","MVA85A","GenderM",-0.13595227499821216,0.10980555285751856,-1.2381183962037061,0.21567216364942018,-0.3511672039014577,0.07926265390503337,"B",FALSE
"%CD14pMono","MVA85A","TreatmentMVA85A:Time56",0.09468670074038517,0.1253440692586099,0.7554142872530135,0.4500004433352752,-0.15098316068218437,0.3403565621629547,"B",FALSE
"%CD14pMono","MVA85A","Time56:GenderM",0.20652712028542497,0.12417401237653591,1.6632072712538892,0.09627095264153102,-0.0368494717884163,0.44990371235926624,"B",FALSE
"%CD14pMono","QFT","(Intercept)",2.0740536953181583,0.09303235439496305,22.2938966643034,4.234815279785641e-110,1.8917136313070642,2.2563937593292525,"B",FALSE
"%CD14pMono","QFT","QFTPositive",-0.07661374523698015,0.11190345820032592,-0.6846414442333741,0.49357020775365035,-0.2959404930551023,0.14271300258114195,"B",FALSE
"%CD14pMono","QFT","Time56",-0.12491727628987953,0.10579354586699938,-1.1807646228903412,0.2376962415051565,-0.33226881598598457,0.08243426340622548,"B",FALSE
"%CD14pMono","QFT","GenderM",-0.1171988011918406,0.10982265673255276,-1.0671641415236448,0.2858977218574222,-0.33244725307414924,0.09804965069046805,"B",FALSE
"%CD14pMono","QFT","QFTPositive:Time56",-0.001804540516257454,0.12491106355582746,-0.014446602765902613,0.9884736796305934,-0.24662572635627292,0.24301664532375802,"B",FALSE
"%CD14pMono","QFT","Time56:GenderM",0.1897711209074286,0.12378308034528734,1.5330941868474315,0.12525264980030926,-0.052839258464762395,0.4323815002796196,"B",FALSE
"%CD14pMono","FA - FA","(Intercept)",1.9889169227012578,0.09936192167375787,20.016892680795884,3.9244596667840776e-89,1.7941711347860025,2.183662710616513,"B",FALSE
"%CD14pMono","FA - FA","FA1",0.12127378806750636,0.15841470249595785,0.7655462918323557,0.44394631207210883,-0.18921332344619837,0.4317608995812111,"B",FALSE
"%CD14pMono","FA - FA","FA2",0.22181207380272222,0.14973513056907073,1.4813629437508882,0.13850988375506554,-0.07166338933305882,0.5152875369385033,"B",FALSE
"%CD14pMono","FA - FA","FA3",-0.12562156548187048,0.140309772190609,-0.8953158680295996,0.37061826017323085,-0.4006236656544837,0.14938053469074275,"B",FALSE
"%CD14pMono","FA - FA","Time56",-0.13328522908120888,0.11771662567251821,-1.1322549242279654,0.2575272748803161,-0.3640055757809276,0.0974351176185099,"B",FALSE
"%CD14pMono","FA - FA","GenderM",-0.0653744203748694,0.11166016832445888,-0.5854766418129185,0.5582272681324295,-0.2842243287984889,0.1534754880487501,"B",FALSE
"%CD14pMono","FA - FA","FA1:Time56",-0.1376472739179515,0.18146765323776134,-0.758522367276135,0.4481383279770248,-0.493317338622967,0.218022790787064,"B",FALSE
"%CD14pMono","FA - FA","FA2:Time56",0.04063877047729313,0.1727406543786887,0.23525886609300006,0.8140078192857642,-0.29792669077081785,0.37920423172540413,"B",FALSE
"%CD14pMono","FA - FA","FA3:Time56",0.12314456981750738,0.15892709168149768,0.7748494514975378,0.43842862429810797,-0.18834680604592324,0.434635945680938,"B",FALSE
"%CD14pMono","FA - FA","Time56:GenderM",0.16725581987454863,0.1278133607673274,1.3085941788122029,0.19067185382358204,-0.08325376397243778,0.41776540372153503,"B",FALSE
"%CD14pMono","FA - BA","(Intercept)",1.8632904971531927,0.12910570036423918,14.432286815348883,3.2415258065936487e-47,1.6102479742404643,2.1163330200659214,"B",FALSE
"%CD14pMono","FA - BA","FA0",0.12562367347247563,0.14030982254559873,0.8953305705425555,0.370610403013039,-0.14937852539410393,0.4006258723390552,"B",FALSE
"%CD14pMono","FA - BA","FA1",0.24689752022302003,0.16592019379654352,1.4880498544123775,0.1367377464618669,-0.07830008392611132,0.5720951243721514,"B",FALSE
"%CD14pMono","FA - BA","FA2",0.3474328745063151,0.15984012494177893,2.1736273957047145,0.029733129269594552,0.03415198633604605,0.6607137626765842,"B",FALSE
"%CD14pMono","FA - BA","Time56",-0.010140677514343752,0.14670789911173104,-0.06912155088950411,0.9448928669236132,-0.29768287602087234,0.2774015209921848,"B",FALSE
"%CD14pMono","FA - BA","GenderM",-0.065368873041866,0.11166021299183028,-0.5854267271248066,0.55826082183175,-0.2842188690119247,0.15348112292819274,"B",FALSE
"%CD14pMono","FA - BA","FA0:Time56",-0.1231430612634427,0.15892745726670282,-0.7748381769978939,0.4384352872371582,-0.43463515366070865,0.18834903113382323,"B",FALSE
"%CD14pMono","FA - BA","FA1:Time56",-0.2607917697387618,0.18954707502140733,-1.3758680776757337,0.16886247991327732,-0.6322972101556318,0.11071367067810822,"B",FALSE
"%CD14pMono","FA - BA","FA2:Time56",-0.08250713080345075,0.18361898358201226,-0.44933878400758853,0.6531872838658205,-0.44239372550204614,0.2773794638951447,"B",FALSE
"%CD14pMono","FA - BA","Time56:GenderM",0.16725654342760043,0.1278136986619734,1.3085963803452776,0.19067110768817588,-0.08325370268072269,0.41776678953592356,"B",FALSE
