"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%CD19pBcells","MVA85A","(Intercept)",2.790010708267614,0.08696230420269338,32.0829896798112,7.614323350467073e-226,2.6195677240177186,2.9604536925175093,"B",FALSE
"%CD19pBcells","MVA85A","TreatmentMVA85A",0.0746297025341136,0.09906286964038398,0.753356962149722,0.4512354376683484,-0.11952995416622528,0.26878935923445246,"B",FALSE
"%CD19pBcells","MVA85A","Time56",-0.016745938147336496,0.05940727530571247,-0.2818836255519405,0.7780327455427698,-0.13318205816618864,0.09969018187151565,"B",FALSE
"%CD19pBcells","MVA85A","GenderM",0.10376892253720105,0.09884491097629695,1.0498155293203195,0.2938029339952145,-0.0899635430314088,0.2975013881058109,"B",FALSE
"%CD19pBcells","MVA85A","TreatmentMVA85A:Time56",-0.024200928598662234,0.06713228528757277,-0.36049612336290004,0.7184761551354915,-0.15577778996217298,0.1073759327648485,"B",FALSE
"%CD19pBcells","MVA85A","Time56:GenderM",-0.02164354626351662,0.067134673623586,-0.32238998263205576,0.7471572721607469,-0.15322508867959625,0.10993799615256301,"B",FALSE
"%CD19pBcells","QFT","(Intercept)",2.8305019205720208,0.08415265125935702,33.63532673318233,5.1102616879777795e-248,2.665565754900122,2.9954380862439196,"B",FALSE
"%CD19pBcells","QFT","QFTPositive",-0.00422575238020009,0.09873732968258354,-0.04279792043986661,0.9658626217209431,-0.19774736248772143,0.18929585772732124,"B",FALSE
"%CD19pBcells","QFT","Time56",-0.1031701326810142,0.059569338509104314,-1.7319334957067911,0.08328540406380265,-0.21992389074173355,0.013583625379705144,"B",FALSE
"%CD19pBcells","QFT","GenderM",0.09824517056353929,0.09821059007950522,1.0003521054501971,0.31714013944023733,-0.09424404889271762,0.2907343900197962,"B",FALSE
"%CD19pBcells","QFT","QFTPositive:Time56",0.1476968786935993,0.06688199740761411,2.208320391412008,0.027221946842372505,0.01661057256057441,0.2787831848266242,"B",FALSE
"%CD19pBcells","QFT","Time56:GenderM",-0.013803376932321261,0.06704845808136942,-0.20587165353705233,0.8368911683377188,-0.1452159399907488,0.1176091861261063,"B",FALSE
"%CD19pBcells","FA - FA","(Intercept)",2.774901459239751,0.08877490766460065,31.257722843526583,1.7533223989741488e-214,2.600905837486265,2.948897080993237,"B",FALSE
"%CD19pBcells","FA - FA","FA1",0.1109851997989822,0.14382099725571415,0.7716898221867436,0.4402981602172581,-0.17089877504285145,0.39286917464081583,"B",FALSE
"%CD19pBcells","FA - FA","FA2",-0.052878267048951155,0.13994249932954977,-0.37785710061121913,0.705536752602977,-0.3271605256413893,0.221403991543487,"B",FALSE
"%CD19pBcells","FA - FA","FA3",0.26525426256035584,0.12296995766227971,2.1570655760396424,0.031000555341153698,0.024237574361872405,0.5062709507588392,"B",FALSE
"%CD19pBcells","FA - FA","Time56",-0.028745784862186045,0.06856351070681328,-0.4192577737903016,0.6750277532272828,-0.16312779650116643,0.10563622677679435,"B",FALSE
"%CD19pBcells","FA - FA","GenderM",0.024942306688508702,0.10025160549387443,0.24879707976380214,0.8035177501074072,-0.17154722947180298,0.22143184284882036,"B",FALSE
"%CD19pBcells","FA - FA","FA1:Time56",-0.06211836296143536,0.10765049006011851,-0.5770374377928491,0.5639141653960398,-0.2731094463973547,0.14887272047448394,"B",FALSE
