"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%CD4+ ANYcytok+","MVA85A","(Intercept)",-0.7284489486599074,0.17883177596175853,-4.073375353693738,4.6336655325220546e-5,-1.0789527888362898,-0.37794510848352497,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","TreatmentMVA85A",-0.1955433318226511,0.21412996921455835,-0.913199271171223,0.3611377472026515,-0.615230359493856,0.2241436958485537,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","Time56",-2.6495462476866325,0.2053623808474,-12.901809166574907,4.396526695404322e-38,-3.0520491179269347,-2.2470433774463303,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","Time365",-0.902532623946032,0.21626442684868402,-4.173282851448872,3.0024181569548092e-5,-1.3264031117066497,-0.47866213618541426,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","GenderM",0.06614471025781112,0.2144379092834321,0.3084562355548091,0.7577351966987017,-0.35414586885778304,0.48643528937340524,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","TreatmentMVA85A:Time56",0.19482046639500694,0.2458431930071281,0.7924582495532354,0.4280935265631641,-0.28702333774329325,0.6766642705333071,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","TreatmentMVA85A:Time365",0.02387165310575692,0.25674991044692463,0.09297628600611205,0.9259224006266707,-0.4793489244040995,0.5270922306156133,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","Time56:GenderM",0.4002110254190715,0.24678502878410138,1.621698963632004,0.10486782083315017,-0.08347874292144769,0.8839007937595906,"A",FALSE
"%CD4+ ANYcytok+","MVA85A","Time365:GenderM",0.2900707737925122,0.25767760660274164,1.125711999645009,0.2602874429093548,-0.21496805477134173,0.7951096023563662,"A",FALSE
"%CD4+ ANYcytok+","QFT","(Intercept)",-0.8684116485858128,0.18009251773605928,-4.822030695681334,1.421040708964351e-6,-1.2213864972336297,-0.5154367999379957,"A",FALSE
"%CD4+ ANYcytok+","QFT","QFTPositive",0.11640249325460054,0.21644146551377863,0.5378012617789745,0.5907142607859026,-0.3078149839134736,0.5406199704226747,"A",FALSE
"%CD4+ ANYcytok+","QFT","Time56",-2.552472501513821,0.20470182350592825,-12.469222099723504,1.0989358283550736e-35,-2.953680703155115,-2.151264299872527,"A",FALSE
"%CD4+ ANYcytok+","QFT","Time365",-0.8601998989900328,0.21366841490271085,-4.025863623229974,5.6766583642039596e-5,-1.2789822968331073,-0.44141750114695827,"A",FALSE
"%CD4+ ANYcytok+","QFT","GenderM",0.06117703698978662,0.21512738642003482,0.284375866819387,0.7761223513665653,-0.36046489248171265,0.48281896646128586,"A",FALSE
"%CD4+ ANYcytok+","QFT","QFTPositive:Time56",-0.01672479512969925,0.24787558699110945,-0.06747253867440813,0.9462055231559315,-0.5025520182789988,0.4691024280196003,"A",FALSE
"%CD4+ ANYcytok+","QFT","QFTPositive:Time365",-0.08718554075656013,0.2589263330373902,-0.3367194820774375,0.7363283755750267,-0.5946718281588684,0.4203007466457481,"A",FALSE
