"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%CD56pNKTlike","MVA85A","(Intercept)",-1.9579733487108477,0.1871527637452096,-10.461899196831736,1.2923883351499046e-25,-2.324786025258592,-1.5911606721631035,"B",FALSE
"%CD56pNKTlike","MVA85A","TreatmentMVA85A",0.11644374878304951,0.21486901608080108,0.5419289896094701,0.5878674251881535,-0.3046917841288782,0.5375792816949773,"B",FALSE
"%CD56pNKTlike","MVA85A","Time56",-0.04823771994591412,0.1516690118448094,-0.3180459828885275,0.7504500570810968,-0.3455035207325194,0.2490280808406911,"B",FALSE
"%CD56pNKTlike","MVA85A","GenderM",0.06419886627208318,0.21408354375855632,0.29987763255865546,0.764270496237405,-0.3553971691773917,0.48379490172155815,"B",FALSE
"%CD56pNKTlike","MVA85A","TreatmentMVA85A:Time56",0.08217162212312941,0.17410859961933065,0.4719561371626022,0.6369580972398239,-0.25907496252946277,0.42341820677572156,"B",FALSE
"%CD56pNKTlike","MVA85A","Time56:GenderM",-0.033399023113591636,0.17326684272808915,-0.19276061471267955,0.8471464498513624,-0.37299579457561205,0.30619774834842883,"B",FALSE
"%CD56pNKTlike","QFT","(Intercept)",-1.977215003156059,0.18174782734822012,-10.87889210013944,1.453184066763085e-27,-2.333434199026974,-1.6209958072851438,"B",FALSE
"%CD56pNKTlike","QFT","QFTPositive",0.168346017136846,0.21486823434507202,0.783484900176018,0.43334241736329104,-0.25278798360120736,0.5894800178748993,"B",FALSE
"%CD56pNKTlike","QFT","Time56",0.0769035244021357,0.14714303003484375,0.5226446973663978,0.6012215297006025,-0.21149151504225344,0.36529856384652487,"B",FALSE
"%CD56pNKTlike","QFT","GenderM",0.06066103501869172,0.21325750637252192,0.28444970613474196,0.776065771418457,-0.3573159969042722,0.47863806694165567,"B",FALSE
"%CD56pNKTlike","QFT","QFTPositive:Time56",-0.18074029787847623,0.1736162771349383,-1.0410331384885128,0.297860168568187,-0.5210219481928802,0.15954135243592765,"B",FALSE
"%CD56pNKTlike","QFT","Time56:GenderM",-0.04713796200653412,0.1720252146922401,-0.2740177484496432,0.7840709822068874,-0.38430118723609524,0.29002526322302696,"B",FALSE
"%CD56pNKTlike","FA - FA","(Intercept)",-2.0850464592198747,0.19120211285585392,-10.90493419804298,1.0917222965735254e-27,-2.459795714185311,-1.7102972042544382,"B",FALSE
"%CD56pNKTlike","FA - FA","FA1",-0.021059363299777072,0.31029696460607215,-0.06786841542749969,0.9458903815982427,-0.6292302384397782,0.587111511840224,"B",FALSE
"%CD56pNKTlike","FA - FA","FA2",0.46156788928004905,0.29949374326992445,1.541160373637763,0.12327775909481115,-0.12542906112408797,1.048564839684186,"B",FALSE
"%CD56pNKTlike","FA - FA","FA3",0.5208056377434602,0.26790670066046585,1.9439813803071253,0.05189769648794198,-0.004281846768005804,1.0458931222549261,"B",FALSE
"%CD56pNKTlike","FA - FA","Time56",0.10999775969634905,0.1546375592405651,0.7113262795698215,0.4768820702920681,-0.1930862870723375,0.4130818064650356,"B",FALSE
