"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%CD8+ totIL17+","MVA85A","(Intercept)",-7.386738456365494,0.3825612168508123,-19.308644292727944,4.543427974746263e-83,-8.136544663274904,-6.636932249456084,"A",FALSE
"%CD8+ totIL17+","MVA85A","TreatmentMVA85A",0.8350700357721031,0.44840628686981937,1.8623067076098765,0.06255987055073343,-0.043790136934078294,1.7139302084782846,"A",FALSE
"%CD8+ totIL17+","MVA85A","Time56",0.6038174475892669,0.4339684506069121,1.3913855874656744,0.16410853269675368,-0.2467450860269299,1.4543799812054639,"A",FALSE
"%CD8+ totIL17+","MVA85A","Time365",-0.052221238231788765,0.5016356030078113,-0.10410193757913071,0.9170884532489962,-1.0354089534901312,0.9309664770265536,"A",FALSE
"%CD8+ totIL17+","MVA85A","GenderM",-0.007760704445027314,0.44537422838273694,-0.0174251313849217,0.9860974602516512,-0.8806781517175082,0.8651567428274536,"A",FALSE
"%CD8+ totIL17+","MVA85A","TreatmentMVA85A:Time56",-1.2163001781393887,0.5411955394258404,-2.247432008456266,0.024612431300330598,-2.2770239440077624,-0.15557641227101482,"A",FALSE
"%CD8+ totIL17+","MVA85A","TreatmentMVA85A:Time365",0.2221668497550348,0.5479433499650079,0.40545587380378384,0.685142447526192,-0.8517823817446071,1.2961160812546768,"A",FALSE
"%CD8+ totIL17+","MVA85A","Time56:GenderM",0.23768243460921465,0.5368853202312696,0.4427061527903765,0.6579782914871672,-0.8145934568723271,1.2899583260907563,"A",FALSE
"%CD8+ totIL17+","MVA85A","Time365:GenderM",0.4437495345816196,0.5414324511929304,0.81958429644162,0.4124531288170921,-0.6174385698177642,1.5049376389810034,"A",FALSE
"%CD8+ totIL17+","QFT","(Intercept)",-7.168349562774224,0.3814054787092188,-18.79456369382499,8.366535672076844e-79,-7.915890564550551,-6.420808560997896,"A",FALSE
"%CD8+ totIL17+","QFT","QFTPositive",0.3869209290561044,0.44445937116318934,0.8705428530925071,0.3840038110966775,-0.4842034310150668,1.2580452891272755,"A",FALSE
"%CD8+ totIL17+","QFT","Time56",0.07787217958069381,0.45017654921929035,0.17298142187935395,0.8626660306714472,-0.804457643573638,0.9602020027350257,"A",FALSE
