"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%gdTCRp","MVA85A","(Intercept)",0.36641315811520453,0.11184337579458407,3.2761274908956013,0.0010524104199516116,0.14720416964844094,0.5856221465819681,"B",FALSE
"%gdTCRp","MVA85A","TreatmentMVA85A",-0.07745801790224663,0.12761281074949873,-0.6069768187638708,0.5438662962379528,-0.3275745309371899,0.17265849513269668,"B",FALSE
"%gdTCRp","MVA85A","Time56",0.06521986633128965,0.07374551602394534,0.8843909412758412,0.3764852113471602,-0.07931868909696463,0.20975842175954393,"B",FALSE
"%gdTCRp","MVA85A","GenderM",0.12122231640965893,0.12719592602212454,0.9530361561153574,0.34057175180799754,-0.12807711757392615,0.37052175039324403,"B",FALSE
"%gdTCRp","MVA85A","TreatmentMVA85A:Time56",-0.002401844959389107,0.08497479187713372,-0.02826538207780455,0.9774504906616694,-0.1689493766323579,0.16414568671357968,"B",FALSE
"%gdTCRp","MVA85A","Time56:GenderM",-0.12009586561831508,0.08533502595812723,-1.4073455098876344,0.15932496054794523,-0.287349443116035,0.04715771187940486,"B",FALSE
"%gdTCRp","QFT","(Intercept)",0.3411681584054868,0.10790726086709224,3.161679350064298,0.0015686218799221753,0.1296738134356177,0.5526625033753559,"B",FALSE
"%gdTCRp","QFT","QFTPositive",-0.032910586003304015,0.12683250434773558,-0.25948069205566854,0.7952643774978834,-0.2814977265938855,0.21567655458727747,"B",FALSE
"%gdTCRp","QFT","Time56",0.10715466286850009,0.06560980884282583,1.6332110207057404,0.10242462291737225,-0.02143819949599607,0.23574752523299625,"B",FALSE
"%gdTCRp","QFT","GenderM",0.12702165585916905,0.12608948167503983,1.0073929575389298,0.31374597426720147,-0.12010918705323209,0.3741524987715702,"B",FALSE
"%gdTCRp","QFT","QFTPositive:Time56",-0.09027651067336202,0.07808232092233425,-1.1561709437806915,0.2476112422413873,-0.24331504751043542,0.06276202616371139,"B",FALSE
"%gdTCRp","QFT","Time56:GenderM",-0.12497366779394349,0.0775460122775219,-1.6116066335775894,0.1070475662623851,-0.2769610590025872,0.02701372341470025,"B",FALSE
"%gdTCRp","FA - FA","(Intercept)",0.22454092243788476,0.11546908383483971,1.9445977657452889,0.05182340843093606,-0.0017743232062371606,0.4508561680820067,"B",FALSE
"%gdTCRp","FA - FA","FA1",0.0720455161955392,0.18634308645792919,0.38662832930914753,0.6990313821291172,-0.29318022203003535,0.4372712544211138,"B",FALSE
"%gdTCRp","FA - FA","FA2",0.13747938060247628,0.17782228419895552,0.7731279643706421,0.43944665274716793,-0.2110458920761224,0.48600465328107495,"B",FALSE
"%gdTCRp","FA - FA","FA3",0.35437714364942313,0.15791657081578062,2.2440782611903716,0.024827366388276765,0.04486635228842423,0.6638879350104221,"B",FALSE
"%gdTCRp","FA - FA","Time56",0.059487469747365775,0.07326973872815783,0.8118968455459297,0.4168508246503626,-0.08411857931648312,0.20309351881121465,"B",FALSE
"%gdTCRp","FA - FA","GenderM",0.033962839335602735,0.12865021968641507,0.263993636531575,0.7917848221816931,-0.21818695785293662,0.2861126365241421,"B",FALSE
"%gdTCRp","FA - FA","FA1:Time56",0.012007642274556899,0.1129936516674685,0.10626829115935162,0.9153694890901406,-0.20945584547534554,0.23347113002445932,"B",FALSE
"%gdTCRp","FA - FA","FA2:Time56",0.15692084252973976,0.10797678643601986,1.453283133432768,0.14614515832566571,-0.05470977005123215,0.36855145511071163,"B",FALSE
"%gdTCRp","FA - FA","FA3:Time56",-0.21525248495411423,0.09447710073224917,-2.278356165523601,0.022705365821266928,-0.4004241997530853,-0.030080770155143127,"B",FALSE
"%gdTCRp","FA - FA","Time56:GenderM",-0.022325389368633347,0.07844909418033859,-0.28458441237462595,0.7759625547790302,-0.1760827885818877,0.131432009844621,"B",FALSE
"%gdTCRp","FA - BA","(Intercept)",0.5789153424399442,0.14489187007102924,3.995499141229573,6.455809119312117e-5,0.29493249544807004,0.8628981894318184,"B",FALSE
"%gdTCRp","FA - BA","FA0",-0.35437438633517704,0.15791680457704904,-2.2440574787737333,0.024828703344587037,-0.6638856358598431,-0.04486313681051102,"B",FALSE
"%gdTCRp","FA - BA","FA1",-0.2823317998141005,0.19111875268697034,-1.4772584890009524,0.13960636073219268,-0.65691767185078,0.09225407222257898,"B",FALSE
"%gdTCRp","FA - BA","FA2",-0.2168979444748126,0.185133007521637,-1.1715790035413491,0.24136612191237977,-0.579751971566804,0.1459560826171788,"B",FALSE
"%gdTCRp","FA - BA","Time56",-0.15576500929614848,0.08504963486243755,-1.831460059153559,0.06703190399944893,-0.32245923052480824,0.010929211932511285,"B",FALSE
"%gdTCRp","FA - BA","GenderM",0.03396551707343092,0.12865042478843294,0.26401402971881044,0.7917691080483332,-0.2181846821076766,0.28611571625453847,"B",FALSE
"%gdTCRp","FA - BA","FA0:Time56",0.2152529283210238,0.09447713538110805,2.2783600228004635,0.022705136191665507,0.030081145611537186,0.4004247110305104,"B",FALSE
"%gdTCRp","FA - BA","FA1:Time56",0.22726074068846444,0.11128937663756851,2.0420703894188845,0.04114454959326755,0.009137570616916918,0.44538391076001194,"B",FALSE
"%gdTCRp","FA - BA","FA2:Time56",0.37217340691806056,0.11061469789308717,3.3645927169441685,7.66567237260472e-4,0.15537258288683115,0.58897423094929,"B",FALSE
"%gdTCRp","FA - BA","Time56:GenderM",-0.022324865026578315,0.07844912564404499,-0.2845776143876369,0.7759677635399912,-0.17608232590756404,0.1314325958544074,"B",FALSE
