"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"%totNK","MVA85A","(Intercept)",1.442580123374442,0.1588077956269994,9.083811771827053,1.0483750317803525e-19,1.1313225634813258,1.7538376832675582,"B",FALSE
"%totNK","MVA85A","TreatmentMVA85A",0.06316949638146084,0.17846604471592967,0.35395806794513673,0.7233703083891946,-0.28661752372507604,0.41295651648799775,"B",FALSE
"%totNK","MVA85A","Time56",-0.16209230496373092,0.18439688297118018,-0.879040373958299,0.3793793852793178,-0.5235035544486912,0.19931894452122936,"B",FALSE
"%totNK","MVA85A","GenderM",0.01916192190831878,0.17928517102226277,0.10687956956540118,0.9148845214620909,-0.3322305562574203,0.3705544000740579,"B",FALSE
"%totNK","MVA85A","TreatmentMVA85A:Time56",0.028625306458015615,0.2117977027640253,0.13515399876602316,0.8924901169558748,-0.38649056296779327,0.44374117588382456,"B",FALSE
"%totNK","MVA85A","Time56:GenderM",0.07008656752020397,0.211823854069309,0.33087193049216995,0.740741225118578,-0.34508055752210975,0.4852536925625177,"B",FALSE
"%totNK","QFT","(Intercept)",1.445511388319407,0.15388865352997336,9.393229163824351,5.818836021359175e-21,1.1438951697712967,1.7471276068675174,"B",FALSE
"%totNK","QFT","QFTPositive",0.05292842931463834,0.17770930013823705,0.29783713780576604,0.765827468262341,-0.295375398674125,0.40123225730340173,"B",FALSE
"%totNK","QFT","Time56",-0.032647043129463774,0.18220508310922792,-0.1791774552738059,0.8577983653345436,-0.38976244382367775,0.32446835756475023,"B",FALSE
"%totNK","QFT","GenderM",0.021047471292753816,0.17771492245328896,0.11843389965345193,0.9057238667473346,-0.32726737623102103,0.36936231881652865,"B",FALSE
"%totNK","QFT","QFTPositive:Time56",-0.24349475043485924,0.20984867290092485,-1.1603349550360016,0.24591245807243078,-0.6547905915241983,0.1678010906544798,"B",FALSE
"%totNK","QFT","Time56:GenderM",0.053999303532293014,0.20955052012996783,0.25769109758735725,0.7966453172269401,-0.3567121688640794,0.4647107759286655,"B",FALSE
"%totNK","FA - FA","(Intercept)",1.4522394865097972,0.15403211406376394,9.42816045431033,4.173437794052046e-21,1.1503420904822543,1.75413688253734,"B",FALSE
"%totNK","FA - FA","FA1",-0.5709313607251425,0.2509267513943737,-2.275290926744704,0.022888483372951678,-1.0627387562157506,-0.07912396523453435,"B",FALSE
"%totNK","FA - FA","FA2",0.0951035301108822,0.23835562023961085,0.39899847973073943,0.6898943244521768,-0.37206490107146134,0.5622719612932258,"B",FALSE
"%totNK","FA - FA","FA3",0.3445959301299265,0.21452181449710542,1.6063444686860795,0.1081982448410932,-0.07585910018258246,0.7650509604424355,"B",FALSE
"%totNK","FA - FA","Time56",-0.032774411316487,0.18666847764333716,-0.17557550010724499,0.8606274514050563,-0.398637904546348,0.333089081913374,"B",FALSE
"%totNK","FA - FA","GenderM",-0.045484591493514,0.17420588107191265,-0.26109676213937827,0.7940178885430833,-0.3869218442895306,0.29595266130250264,"B",FALSE
"%totNK","FA - FA","FA1:Time56",0.1265722038923448,0.29996341229037954,0.4219588079956118,0.6730550841868455,-0.46134528087653837,0.714489688661228,"B",FALSE
"%totNK","FA - FA","FA2:Time56",-0.10574141143076746,0.2938309022453963,-0.35987164938307364,0.7189431190950513,-0.6816393973766534,0.4701565745151185,"B",FALSE
"%totNK","FA - FA","FA3:Time56",-0.4718449935790278,0.2544436565977024,-1.8544183804316878,0.06367932719722669,-0.9705453966052018,0.026855409447146095,"B",FALSE
"%totNK","FA - FA","Time56:GenderM",0.15741929494819287,0.20866265292290842,0.7544200782607337,0.4505970190061304,-0.25155198969928894,0.5663905795956747,"B",FALSE
"%totNK","FA - BA","(Intercept)",1.796834629078674,0.1945716779949739,9.234821057179191,2.5871809256536992e-20,1.4154811477970006,2.1781881103603475,"B",FALSE
"%totNK","FA - BA","FA0",-0.3445976520981366,0.21452151952325416,-1.606354704478877,0.10819599711332356,-0.7650521042725207,0.07585680007624751,"B",FALSE
"%totNK","FA - BA","FA1",-0.9155286218738758,0.25158491724333826,-3.639044152191195,2.736518831678088e-4,-1.4086259987243088,-0.422431245023443,"B",FALSE
"%totNK","FA - BA","FA2",-0.24948175223257182,0.24809193775412064,-1.0056020138785349,0.31460705476998824,-0.7357330150854011,0.23676951062025745,"B",FALSE
"%totNK","FA - BA","Time56",-0.5046192597906448,0.23247502741789552,-2.1706385644749044,0.029958504541195925,-0.9602619408346815,-0.0489765787466081,"B",FALSE
"%totNK","FA - BA","GenderM",-0.04548283143327399,0.1742057580852098,-0.26108684312849656,0.7940255375619698,-0.38691984317978245,0.2959541803132345,"B",FALSE
"%totNK","FA - BA","FA0:Time56",0.47184997995690925,0.25444365965024257,1.854437955363135,0.0636765289129466,-0.026850429052133418,0.9705503889659519,"B",FALSE
"%totNK","FA - BA","FA1:Time56",0.5984200932804206,0.3010860912916036,1.987538151341728,0.04686279245053961,0.008302198102938863,1.1885379884579024,"B",FALSE
"%totNK","FA - BA","FA2:Time56",0.36608971263672035,0.305413806260231,1.1986678569625298,0.23065712123715923,-0.23251034801462594,0.9646897732880666,"B",FALSE
"%totNK","FA - BA","Time56:GenderM",0.15741931416381907,0.20866270577595947,0.7544199792599245,0.45059707843391555,-0.25155207407373925,0.5663907024013775,"B",FALSE
