"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"Baby Anti-BCG IgG (AUC)","MVA85A","(Intercept)",5.628114865477081,0.15660481657469472,35.93832545241467,7.702883604668564e-283,5.321175065185178,5.935054665768984,"B",FALSE
"Baby Anti-BCG IgG (AUC)","MVA85A","TreatmentMVA85A",0.17558403100349573,0.17151062696965916,1.0237501553449349,0.3059532988978491,-0.16057062082292023,0.5117386828299118,"B",FALSE
"Baby Anti-BCG IgG (AUC)","MVA85A","Time365",0.26470773458464125,0.1599071029993011,1.6553844677293552,0.09784653463534973,-0.04870442816612569,0.5781198973354083,"B",FALSE
"Baby Anti-BCG IgG (AUC)","MVA85A","GenderM",-0.405232898061297,0.171443414998259,-2.3636539091653774,0.0180957084856737,-0.7412558168444386,-0.06920997927815531,"B",FALSE
"Baby Anti-BCG IgG (AUC)","MVA85A","TreatmentMVA85A:Time365",-0.04504252729874007,0.1782087192797945,-0.2527515347216069,0.800460221512325,-0.394325198818146,0.3042401442206658,"B",FALSE
"Baby Anti-BCG IgG (AUC)","MVA85A","Time365:GenderM",0.33228097385500266,0.17782630214772374,1.8685704524124358,0.0616825998162503,-0.01625217385847344,0.6808141215684788,"B",FALSE
"Baby Anti-BCG IgG (AUC)","QFT","(Intercept)",5.6711542542960895,0.14046569447480825,40.37394522199995,0,5.395846552062059,5.94646195653012,"B",FALSE
"Baby Anti-BCG IgG (AUC)","QFT","QFTPositive",0.13071821594285424,0.17287473480668908,0.7561441299622247,0.44956278586379517,-0.20811003811516918,0.4695464700008777,"B",FALSE
"Baby Anti-BCG IgG (AUC)","QFT","Time365",0.21797787290810872,0.1448516557561571,1.5048352175901398,0.1323664469687637,-0.06592615547495317,0.5018819012911706,"B",FALSE
"Baby Anti-BCG IgG (AUC)","QFT","GenderM",-0.4321823762690237,0.17042736715292198,-2.5358742758798405,0.011216699557884206,-0.7662138778687353,-0.0981508746693121,"B",FALSE
"Baby Anti-BCG IgG (AUC)","QFT","QFTPositive:Time365",0.01703158901292482,0.18026876855607102,0.0944788670236425,0.9247287690171788,-0.33628870489436086,0.37035188292021054,"B",FALSE
"Baby Anti-BCG IgG (AUC)","QFT","Time365:GenderM",0.3452065582014749,0.17803987583844405,1.9389283247687743,0.0525100663916189,-0.0037451862538583347,0.6941583026568081,"B",FALSE
"Baby Anti-BCG IgG (AUC)","FA - FA","(Intercept)",5.92272135143347,0.13964643132936952,42.412264280955114,0,5.64901937545836,6.19642332740858,"B",FALSE
"Baby Anti-BCG IgG (AUC)","FA - FA","FA1",-0.25180236112677495,0.2462726023071378,-1.0224538124331863,0.30656616240670376,-0.7344877920277207,0.23088306977417083,"B",FALSE
"Baby Anti-BCG IgG (AUC)","FA - FA","FA2",-0.31463877770493165,0.22252958284236612,-1.4139188762503239,0.15738572291584244,-0.7507887455706915,0.12151119016082823,"B",FALSE
