"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"Bulk CD4+/% R7-RA+","MVA85A","(Intercept)",-0.12162908230632145,0.19079433277413355,-0.6374879197817086,0.5238070761816958,-0.4955791029979732,0.25232093838533026,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","TreatmentMVA85A",-0.22679267486171167,0.23205229346060272,-0.9773343390817035,0.3284036581088919,-0.6816068125744124,0.22802146285098907,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","Time56",-0.5943687564223548,0.15764328471771535,-3.7703398370990797,1.6302540030760604e-4,-0.9033439168736703,-0.28539359597103925,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","Time365",0.2770662363207475,0.16868252569619885,1.642530755199565,0.10048005781459658,-0.05354543886505436,0.6076779115065494,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","GenderM",-0.20662398480638888,0.23183221621555225,-0.8912651924712425,0.3727869174189544,-0.6610067790449738,0.24775880943219614,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","TreatmentMVA85A:Time56",0.1402997729976671,0.18996066235328965,0.7385727721707823,0.4601664627723944,-0.23201628369415422,0.5126158296894885,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","TreatmentMVA85A:Time365",0.4395923200504295,0.20113556255097606,2.1855524427164323,0.028848365200761075,0.045373861440313246,0.8338107786605458,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","Time56:GenderM",0.22265347971161292,0.1898174702518267,1.1729872883471866,0.24080090329807335,-0.1493819256184704,0.5946888850416963,"A",FALSE
"Bulk CD4+/% R7-RA+","MVA85A","Time365:GenderM",-0.23582940434309857,0.2008119284463315,-1.1743794612585763,0.24024306819927954,-0.6294135517639425,0.15775474307774545,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","(Intercept)",-0.18379367630677806,0.19652505244139792,-0.9352175410897486,0.34967620045083997,-0.5689757011517633,0.2013883485382072,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","QFTPositive",-0.04577175322669333,0.23593565527822816,-0.194001000708082,0.8461750983384445,-0.5081971402408779,0.4166536337874912,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","Time56",-0.5656348856932649,0.1650817245148135,-3.42639312350113,6.116544181346754e-4,-0.8891891202480622,-0.2420806511384676,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","Time365",0.38597717462051095,0.1771900028784643,2.1783236545532145,0.029381949302938307,0.038691150558172516,0.7332631986828494,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","GenderM",-0.2417308021393054,0.23259104572319284,-1.0392953924244779,0.29866737706486735,-0.6976008748832723,0.21413927060466145,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","QFTPositive:Time56",0.034113696184627076,0.19571301708537098,0.17430468699865026,0.8616260159388736,-0.34947676860837223,0.41770416097762636,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","QFTPositive:Time365",0.1920749489024735,0.20582889092037795,0.9331777868675153,0.3507281817197096,-0.21134226427929054,0.5954921620842375,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","Time56:GenderM",0.24610933426207768,0.1931627559357241,1.2741034526550854,0.20262675497746738,-0.13248271052644203,0.6247013790505974,"A",FALSE
"Bulk CD4+/% R7-RA+","QFT","Time365:GenderM",-0.20909266980800714,0.20495259522898696,-1.0202001568918637,0.30763354324665737,-0.6107923749948372,0.19260703537882293,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","(Intercept)",-0.6013679376050124,0.27606369559055716,-2.178366613250476,0.029378753450002588,-1.1424428384015333,-0.06029303680849152,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA1",0.10319371452658214,0.28894226847786564,0.3571430205424835,0.7209847395827176,-0.4631227253013373,0.6695101543545016,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA2",0.8596107941944577,0.4005271782245466,2.1461984128141642,0.03185715216750123,0.07459195004489116,1.6446296383440244,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA3",0.5259631542028632,0.32074857340397267,1.6397988886467447,0.10104698935766963,-0.10269249776152489,1.1546188061672513,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","Time56",-0.42966515599767646,0.23348647155335028,-1.840214352202845,0.06573677369976749,-0.8872902311195787,0.02795991912422585,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","Time365",0.8029487530035503,0.26000042224795944,3.088259419201201,0.002013326349585419,0.2933572894323433,1.3125402165747573,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","GenderM",-0.02170680353306004,0.24047822974815625,-0.09026515022084433,0.9280765131609942,-0.4930354729053948,0.4496218658392747,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA1:Time56",0.05289548490048394,0.24549566498753952,0.21546402826774444,0.8294055546914513,-0.4282671768358041,0.534058146636772,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA2:Time56",-0.4700484078886141,0.34119306111107245,-1.377661100017488,0.16830794690399703,-1.1387745194412897,0.1986777036640615,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA3:Time56",-0.11659126615069744,0.2732977655008431,-0.4266089257518564,0.6696641954478724,-0.6522450435876231,0.41906251128622823,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA1:Time365",-0.29438175211070366,0.2632005547376024,-1.1184693451888326,0.26336659188397293,-0.8102453601073674,0.22148185588595998,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA2:Time365",-0.3055656115426321,0.3598530819094626,-0.8491399043221507,0.39580344822400243,-1.0108646918109208,0.39973346872565646,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","FA3:Time365",-0.4499218345117626,0.30067401794979176,-1.496377497396177,0.13455531015288438,-1.039232080780304,0.13938841175677885,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","Time56:GenderM",0.15746561688992308,0.20867272202571469,0.7546056588580784,0.45048562727620933,-0.25152540283641567,0.5664566366162619,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - FA","Time365:GenderM",-0.3710080346600926,0.2342077341612193,-1.5840981340296192,0.1131713889623461,-0.8300467585168136,0.08803068919662843,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","(Intercept)",-0.0754097019775912,0.22348609459385538,-0.33742458167088374,0.7357968565926913,-0.5134343984270593,0.36261499447187695,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA0",-0.5259540591153266,0.32074879292155184,-1.639769410586569,0.101053120670443,-1.154610141326264,0.10270202309561072,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA1",-0.4227662998341751,0.2951203862872959,-1.4325215047076332,0.15199462820389428,-1.0011916280608233,0.1556590283924732,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA2",0.3336605187243339,0.3843512623164453,0.8681134978285137,0.3853322025114303,-0.4196541128284056,1.0869751502770733,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","Time56",-0.5462625078954287,0.18899878816385177,-2.8902963516456444,0.0038487881027349704,-0.9166933258182932,-0.17583168997256432,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","Time365",0.3530305637514186,0.19924451299485027,1.7718458513361577,0.07642014899081961,-0.03748150583571064,0.7435426333385479,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","GenderM",-0.02170749991246918,0.24047846723018793,-0.09026795688817572,0.9280742828692622,-0.493036634741033,0.44962163491609464,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA0:Time56",0.11659032941863069,0.2732977948726803,0.42660545238920045,0.669666725740579,-0.419063505586038,0.6522441644232994,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA1:Time56",0.16948177210147916,0.258606219512113,0.6553661873300024,0.5122320160084739,-0.33737710432032153,0.6763406485232799,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA2:Time56",-0.35346147508380266,0.32926060095211446,-1.0735006680474588,0.28304653909086114,-0.9988003944779614,0.2918774443103561,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA0:Time365",0.4499179261100004,0.3006743569726408,1.4963628113818157,0.13455913509167544,-0.139392984631115,1.0392288368511158,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA1:Time365",0.15552746624033545,0.286828096117826,0.5422323278136825,0.5876584676022875,-0.40664527190479627,0.7177002043854671,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","FA2:Time365",0.14433982749002192,0.3451017815064302,0.41825291906623335,0.6757622083168042,-0.532047235263192,0.8207268902432359,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","Time56:GenderM",0.15746956918999766,0.20867280144299616,0.7546243118464777,0.45047443198649706,-0.25152160619135255,0.5664607445713479,"A",FALSE
"Bulk CD4+/% R7-RA+","FA - BA","Time365:GenderM",-0.37100973234585577,0.23420794212510415,-1.5841039760627664,0.11317005973284888,-0.8300488638043011,0.08802939911258961,"A",FALSE
