"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"bulk CD8+/% R7+RA-","MVA85A","(Intercept)",1.3790284047401267,0.11773331465246188,11.713153654179312,1.0914306375018634e-31,1.1482753482407797,1.6097814612394736,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","TreatmentMVA85A",0.1031779918327615,0.1434846560847861,0.7190872853456391,0.4720871408820032,-0.17804676642753514,0.38440275009305813,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","Time56",0.19897569882043137,0.08059004123087826,2.468986189626037,0.01354964476241452,0.04102212049531201,0.3569292771455507,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","Time365",-0.4139981590767467,0.09848338808100254,-4.203735951247264,2.625451947708025e-5,-0.6070220527909929,-0.22097426536250053,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","GenderM",0.049533240618174275,0.1433184284390113,0.345616688360862,0.7296308025315188,-0.23136571744316886,0.3304321986795174,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","TreatmentMVA85A:Time56",-0.11066913125734815,0.1022266180436477,-1.0825862517538802,0.2789921123619561,-0.31102962088423003,0.08969135836953374,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","TreatmentMVA85A:Time365",-0.3550525929203759,0.12594781748974151,-2.819045220448501,0.004816673187221899,-0.6019057791316931,-0.10819940670905864,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","Time56:GenderM",-0.11153515383187888,0.10207886395512174,-1.092637099497057,0.27455316697746757,-0.31160605076668135,0.08853574310292357,"A",FALSE
"bulk CD8+/% R7+RA-","MVA85A","Time365:GenderM",0.09309896841905832,0.12475758346246976,0.7462389526570531,0.4555230814857793,-0.15142140196563222,0.33761933880374884,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","(Intercept)",1.4129641133667183,0.11986966201655022,11.787503940501914,4.527614077532159e-32,1.178023892975291,1.6479043337581456,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","QFTPositive",0.010681281579529906,0.1450426151506831,0.07364236757888877,0.9412949581909248,-0.2735970203393125,0.2949595834983723,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","Time56",0.16944479437617269,0.0862006123379679,1.9657029083717898,0.049332938677918214,4.946987484566179e-4,0.3383948900038888,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","Time365",-0.47245428837716186,0.10801779754444286,-4.373855967418472,1.220709353798622e-5,-0.684165281253609,-0.2607432955007148,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","GenderM",0.0678778573447375,0.14296039110008982,0.47480184422001664,0.6349282183843495,-0.21231936042719896,0.34807507511667396,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","QFTPositive:Time56",-0.021716800739392018,0.10582202649136987,-0.20522004217300727,0.8374002112904106,-0.22912416143352043,0.18569055995473638,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","QFTPositive:Time365",-0.15142326448562196,0.13014729740657027,-1.1634760575364633,0.2446364067039105,-0.40650728008772286,0.1036607511164789,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","Time56:GenderM",-0.1316446220700393,0.1044846662221722,-1.2599420262310568,0.20769027659872663,-0.33643080480218546,0.07314156066210689,"A",FALSE
"bulk CD8+/% R7+RA-","QFT","Time365:GenderM",0.025598303834631745,0.12773204520991924,0.20040627856981866,0.8411628495065717,-0.22475190444845183,0.2759485121177153,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","(Intercept)",1.5965902926173678,0.17018213855001343,9.381656066968267,6.494452449826772e-21,1.263039430247336,1.9301411549873997,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA1",0.044444880407899366,0.17601244791331394,0.2525098703802384,0.8006469857860506,-0.3005331783329281,0.3894229391487268,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA2",-0.31278367766567594,0.24967094786029695,-1.2527836352057014,0.21028445884371247,-0.8021297434578355,0.17656238812648362,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA3",-0.3724163218812364,0.2017773536706685,-1.8456794833828418,0.06493875792687748,-0.7678926679715474,0.02306002420907466,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","Time56",0.1864547199835283,0.11749838366159228,1.5868705098151608,0.11254197524387519,-0.04383788023486204,0.4167473202019186,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","Time365",-0.5877735205108064,0.14509358747059245,-4.050995848661722,5.100011243797493e-5,-0.8721517263408796,-0.3033953146807333,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","GenderM",-0.05434623112238936,0.14875922185539983,-0.36533016538104884,0.7148649635346904,-0.3459089483271766,0.23721648608239793,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA1:Time56",-0.18180505091075377,0.12514778137532906,-1.4527229241524038,0.14630069945436613,-0.4270901951514912,0.06348009332998367,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA2:Time56",0.07856489955090701,0.18131875315547963,0.4332971531275539,0.6647989060830568,-0.2768133263555413,0.4339431254573553,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA3:Time56",0.05499400594830206,0.14590112332103997,0.37692654241800166,0.706228195754119,-0.23096694106487314,0.34095495296147726,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA1:Time365",-0.009068917232848585,0.1500661054982062,-0.06043281527657816,0.9518109235984121,-0.3031930793095209,0.2850552448438237,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA2:Time365",-0.2609101732469089,0.241670907599457,-1.0796093573635221,0.2803161727732995,-0.7345764482529518,0.21275610175913395,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","FA3:Time365",0.2210289905977551,0.17934272661446016,1.2324391112493203,0.217785098469238,-0.13047629445579972,0.5725342756513099,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","Time56:GenderM",-0.10109846638477832,0.10751542703154497,-0.940315907921903,0.34705554210982126,-0.3118248311490506,0.10962789837949397,"A",FALSE
"bulk CD8+/% R7+RA-","FA - FA","Time365:GenderM",0.08139854859270848,0.13796696083999752,0.5899858060011025,0.5552001655783433,-0.1890117257101346,0.3518088228955516,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","(Intercept)",1.2241790618186752,0.14162957211592164,8.643527220548991,5.450372911150729e-18,0.9465902013256505,1.5017679223117,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA0",0.3724137898424925,0.20177746486630835,1.8456659175951222,0.06494072885745017,-0.023062774187267876,0.7678903538722529,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA1",0.4168532985976215,0.184427750093237,2.2602525833931297,0.02380557900925898,0.05538155066512346,0.7783250465301195,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA2",0.0596249560623252,0.24410176539299536,0.24426269906869003,0.8070273704341876,-0.41880571267059136,0.5380556247952417,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","Time56",0.24144861536320453,0.1059597713490121,2.2786819213484044,0.022685980187829052,0.03377127970904176,0.4491259510173673,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","Time365",-0.36674607090344535,0.12498309002877281,-2.9343655275206864,0.0033423034419374415,-0.6117084260363672,-0.12178371577052355,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","GenderM",-0.05434817497666746,0.14875929046054298,-0.365343064009053,0.71485533631784,-0.34591102664506446,0.23721467669172955,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA0:Time56",-0.054989633913445995,0.14590130938900858,-0.3768960960235811,0.7062508227828528,-0.34095094561313843,0.23097167778624642,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA1:Time56",-0.23679744558952281,0.13706551501873673,-1.727622338537544,0.08405595518498643,-0.5054409185486806,0.03184602736963499,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA2:Time56",0.023566032209512897,0.18253030879554955,0.12910750200893478,0.8972725859490959,-0.33418679911673876,0.3813188635357646,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA0:Time365",-0.2210249064796563,0.17934308057288406,-1.2324139062049455,0.21779450886721563,-0.572530885278974,0.1304810723196614,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA1:Time365",-0.23009602697877365,0.175313019583572,-1.312486816582875,0.1893559313502959,-0.5737032313835398,0.11351117742599257,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","FA2:Time365",-0.4819442125179577,0.24551372384136574,-1.9630031469416238,0.049645808373490745,-0.9631422689573472,-7.461560785681498e-4,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","Time56:GenderM",-0.10109809824788397,0.10751557681053193,-0.9403111739431294,0.34705796965345787,-0.31182475657357633,0.10962856007780837,"A",FALSE
"bulk CD8+/% R7+RA-","FA - BA","Time365:GenderM",0.0813942218724522,0.13796725319371517,0.5899531953293968,0.555222029026953,-0.18901662543314818,0.3518050691780526,"A",FALSE
