"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"bulk CD8+/% R7+RA+","MVA85A","(Intercept)",3.2877328219944135,0.13354778308974555,24.618400589884907,8.025708220106757e-134,3.025983976923345,3.549481667065482,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","TreatmentMVA85A",-0.12375825317590623,0.16005891918666643,-0.7732043537765924,0.4394014499163554,-0.4374679701861794,0.18995146383436695,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","Time56",-0.5484459860641081,0.13287495768957666,-4.127534605470138,3.66673265003758e-5,-0.8088761175829617,-0.2880158545452544,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","Time365",0.5921944857128358,0.14119238912327908,4.19423801374856,2.7379038343060653e-5,0.315462488140044,0.8689264832856276,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","GenderM",-0.270230928769688,0.1599828870593058,-1.6891239665497046,0.09119567585272896,-0.5837916255486664,0.04332976800929034,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","TreatmentMVA85A:Time56",-0.0784956676908538,0.15907450338105927,-0.49345222535643724,0.6216930886189522,-0.39027596517632496,0.23328462979461734,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","TreatmentMVA85A:Time365",0.12381646256655422,0.16700943670616167,0.7413740505238535,0.458466673914121,-0.20351601845584433,0.45114894358895274,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","Time56:GenderM",0.10797231044037964,0.1589952837836302,0.6790912778728361,0.4970800286012777,-0.20365271948726077,0.41959734036802004,"A",TRUE
"bulk CD8+/% R7+RA+","MVA85A","Time365:GenderM",-0.08383958614715488,0.16687100003359703,-0.5024215479638463,0.6153710247870317,-0.41090073627718715,0.24322156398287742,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","(Intercept)",3.302894284619189,0.13662060391692424,24.17566743174112,4.0115888875484584e-129,3.0351228213959054,3.5706657478424724,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","QFTPositive",-0.15056513281578857,0.16308415284822048,-0.9232358275541147,0.3558843218046599,-0.47020419884752596,0.1690739332159488,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","Time56",-0.6720761283033628,0.13611627844979005,-4.937514718720989,7.912443645057555e-7,-0.9388591317745767,-0.4052931248321489,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","Time365",0.5766424702531249,0.1404559674548664,4.105503530410133,4.034351219950651e-5,0.3013538326278568,0.8519311078783929,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","GenderM",-0.29255410905455803,0.1612945547299513,-1.8137878835672356,0.06971038861614322,-0.6086856272276872,0.02357740911857109,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","QFTPositive:Time56",0.18929293763466812,0.16163051852561863,1.1711460147587471,0.24154009061408488,-0.12749705747807835,0.5060829327474146,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","QFTPositive:Time365",0.1605528520141595,0.16748079430220683,0.958634407503786,0.33774295267068744,-0.16770347292032692,0.4888091769486459,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","Time56:GenderM",0.11900474613934654,0.15922982233614577,0.747377246255534,0.45483587622135196,-0.19307997090421058,0.43108946318290364,"A",TRUE
"bulk CD8+/% R7+RA+","QFT","Time365:GenderM",-0.07227039067492715,0.16633496228289668,-0.43448707164770445,0.6639347810001837,-0.3982809261192328,0.25374014476937856,"A",TRUE
"bulk CD8+/% R7+RA+","FA - FA","(Intercept)",2.8832988198515865,0.18295102859940243,15.759948670007118,5.868062874304281e-56,2.5247213928622005,3.2418762468409725,"A",TRUE
"bulk CD8+/% R7+RA+","FA - FA","FA1",-0.29682625075168706,0.18776085305068108,-1.580873999712638,0.11390685031083778,-0.6648307604375394,0.0711782589341653,"A",TRUE
"bulk CD8+/% R7+RA+","FA - FA","FA2",0.6388415175816367,0.25740634416743785,2.4818406074952164,0.013070572696257771,0.13433435362133672,1.1433486815419367,"A",TRUE
