"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"CD8+ ANYcytok+","MVA85A","(Intercept)",-2.9106826451603802,0.18867112332554864,-15.427282107914571,1.0729437445521963e-53,-3.2804712518011705,-2.54089403851959,"A",FALSE
"CD8+ ANYcytok+","MVA85A","TreatmentMVA85A",-0.20989025325474978,0.2247102025629911,-0.9340486139961225,0.35027881678858575,-0.6503141572369123,0.2305336507274128,"A",FALSE
"CD8+ ANYcytok+","MVA85A","Time56",-0.9971463715789662,0.2284170070221721,-4.365464658602127,1.268528116023538e-5,-1.444835478798856,-0.5494572643590764,"A",FALSE
"CD8+ ANYcytok+","MVA85A","Time365",-1.06307062773144,0.24192846029897405,-4.3941528269047065,1.1120556584651312e-5,-1.5372416967526572,-0.5888995587102226,"A",FALSE
"CD8+ ANYcytok+","MVA85A","GenderM",-0.2590617843834256,0.22442258338335708,-1.15434810738676,0.24835748087488457,-0.6989219651322425,0.18079839636539136,"A",FALSE
"CD8+ ANYcytok+","MVA85A","TreatmentMVA85A:Time56",0.18106814722287182,0.27231912051272555,0.6649116186992475,0.5061070238936143,-0.35266752128369283,0.7148038157294364,"A",FALSE
"CD8+ ANYcytok+","MVA85A","TreatmentMVA85A:Time365",0.4616124750924856,0.2856380523438209,1.616074858740618,0.10607812919647312,-0.09822782011556996,1.0214527703005412,"A",FALSE
"CD8+ ANYcytok+","MVA85A","Time56:GenderM",0.5335921776638576,0.2721204214167276,1.960867820525347,0.0498944440229437,2.45952229209645e-4,1.0669384030985056,"A",FALSE
"CD8+ ANYcytok+","MVA85A","Time365:GenderM",0.48511344323283306,0.2850382410670493,1.7019240696153477,0.08876960304623781,-0.07355124347522918,1.0437781299408952,"A",FALSE
"CD8+ ANYcytok+","QFT","(Intercept)",-3.0241940680559956,0.18734299613199956,-16.142552059566643,1.2813194246028881e-58,-3.3913795932305413,-2.65700854288145,"A",FALSE
"CD8+ ANYcytok+","QFT","QFTPositive",0.05329634009709533,0.22902857983061922,0.23270606723628667,0.8159896575721685,-0.3955914278012749,0.5021841079954655,"A",FALSE
"CD8+ ANYcytok+","QFT","Time56",-0.8848929378456997,0.23111345265679747,-3.8288248809114633,1.2875658072192159e-4,-1.3378669813957256,-0.43191889429567387,"A",FALSE
"CD8+ ANYcytok+","QFT","Time365",-0.8248956770411672,0.24499095616813665,-3.367045420546232,7.597817341514994e-4,-1.3050691276687458,-0.34472222641358846,"A",FALSE
