"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrA+ %of Ki67+ NK","MVA85A","(Intercept)",3.051763106968565,0.16878987851733607,18.080249442534697,4.560144444298248e-73,2.7209410241196954,3.3825851898174344,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","TreatmentMVA85A",0.3464733087964957,0.2033122860228024,1.7041434906577024,0.08835428331581073,-0.05201144942270319,0.7449580670156946,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","Time56",0.9946953895929546,0.22527120383672675,4.415546117975625,1.0075529543713893e-5,0.553171943318989,1.4362188358669201,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","Time365",0.5554482069958411,0.22547418304486738,2.4634669898562698,0.013760056541062528,0.11352692878430942,0.9973694852073727,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","GenderM",-0.09661982405076773,0.19926185634619936,-0.4848887078663945,0.6277552929062605,-0.4871658859819124,0.2939262378803769,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time56",-0.6073423434147897,0.2615997807856649,-2.321646989117319,0.020251951528093812,-1.120068492118266,-0.09461619471131322,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time365",-0.30352170367355774,0.2712260325328482,-1.119072903287033,0.2631090386219221,-0.8351149591076292,0.2280715517605137,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","Time56:GenderM",0.30316317547786753,0.2642482871826816,1.1472663785641988,0.25127154505351035,-0.2147539503765855,0.8210803013323206,"A",TRUE
"GrA+ %of Ki67+ NK","MVA85A","Time365:GenderM",0.3285616107416718,0.2711799763678219,1.2115998206888952,0.22566560324927326,-0.20294137626768194,0.8600645977510255,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","(Intercept)",3.3872989106743763,0.1675574182862999,20.21575019069946,7.115532556510119e-91,3.0588924054907154,3.715705415858037,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","QFTPositive",-0.42510341381699573,0.2033342472989483,-2.090663129620243,0.03655827233607935,-0.8236312153464951,-0.026575612287496386,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","Time56",0.49929023001162876,0.2211744189010416,2.2574501720970837,0.023979959688145373,0.06579633466401236,0.9327841253592452,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","Time365",0.3113199865227949,0.23209509120451155,1.3413467079683905,0.17980791149725792,-0.1435780332265867,0.7662180062721765,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","GenderM",-0.08522736933480944,0.1981475816593652,-0.4301206637047103,0.6671078694072355,-0.4735894930108745,0.3031347543412556,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","QFTPositive:Time56",0.5929891201126953,0.26771000222944974,2.215042826843856,0.026757125097289714,0.06828715744183644,1.1176910827835542,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","QFTPositive:Time365",0.27117903020579814,0.275465849830076,0.9844379271444275,0.3249002375912191,-0.2687241144318696,0.8110821748434659,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","Time56:GenderM",0.2489743333737316,0.26321310845274576,0.9459040046952281,0.34419755071673763,-0.2669138794524853,0.7648625461999485,"A",TRUE
"GrA+ %of Ki67+ NK","QFT","Time365:GenderM",0.30256609607398594,0.27161297529282535,1.1139603906911666,0.26529617957388735,-0.22978555323371913,0.834917745381691,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","(Intercept)",2.5826185355284506,0.25847679772947296,9.991684198407128,1.6574141704277137e-23,2.076013321139439,3.089223749917462,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA1",0.664286082311607,0.26566491628042926,2.50046596898178,0.012403004874454998,0.14359241444611714,1.184979750177097,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA2",0.6884505126074694,0.35205277039897903,1.9555321545325521,0.05052029194448659,-0.001560238032078165,1.3784612632470168,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA3",0.7881872550826123,0.3047480202782909,2.586357261198457,0.009699633570640426,0.1908921109772802,1.3854823991879446,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","Time56",1.3223205331929373,0.3339964280583592,3.959085852744174,7.52371895484533e-5,0.6676995632335302,1.9769415031523443,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","Time365",1.294051315135149,0.3361494270502228,3.84963117887989,1.1829581632523177e-4,0.6352105446929381,1.9528920855773597,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","GenderM",0.13973579035153663,0.20501601810408204,0.681584744664175,0.4955015639557701,-0.26208822138627574,0.5415598020893491,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA1:Time56",-0.5248351859047135,0.3416265714919229,-1.5362832686365622,0.12446892119785409,-1.1944109621907801,0.14474059038135323,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA2:Time56",-1.0394233903591805,0.4803987844938517,-2.1636678191313856,0.03048985249512591,-1.9809877061839485,-0.09785907453441245,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA3:Time56",-0.6826713048632369,0.38400330735401267,-1.7777745446183937,0.07544089084862533,-1.4353039572213664,0.06996134749489258,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA1:Time365",-0.826809109861522,0.35736093083231946,-2.3136527765803154,0.020686776211853084,-1.5272236637745773,-0.1263945559484667,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA2:Time365",-1.8503099007683645,0.4954917955324095,-3.7342896844138322,1.8824572305109648e-4,-2.8214559746469714,-0.8791638268897577,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","FA3:Time365",-1.0276397384035063,0.39380385018009684,-2.6095218163396314,0.009066886446608684,-1.7994811017297032,-0.2557983750773094,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","Time56:GenderM",0.023652071569401616,0.2791394170714334,0.08473210920028866,0.9324743683019299,-0.5234511325561129,0.5707552756949161,"A",TRUE
"GrA+ %of Ki67+ NK","FA - FA","Time365:GenderM",0.016264640934675476,0.284409892583421,0.05718732490961036,0.9543959748936562,-0.5411685053757349,0.5736977872450859,"A",TRUE
"GrA+ %of Ki67+ NK","FA - BA","(Intercept)",3.370812384097661,0.2056485025005624,16.391135082972184,2.212738513229869e-60,2.9677487257219637,3.7738760424733586,"A",TRUE
"GrA+ %of Ki67+ NK","FA - BA","FA0",-0.7881960838979815,0.304711965665625,-2.586692262564138,0.00969020930220699,-1.3854205622610118,-0.19097160553495118,"A",TRUE
"GrA+ %of Ki67+ NK","FA - BA","FA1",-0.12391021418494864,0.24332496669690795,-0.5092375676323199,0.6105857133386173,-0.6008183854502962,0.35299795708039894,"A",TRUE
"GrA+ %of Ki67+ NK","FA - BA","FA2",-0.09974966920460131,0.3284573556234119,-0.3036913848839722,0.7613630220761716,-0.743514256683753,0.5440149182745505,"A",TRUE
