"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrA+ %of Ki67+ gd","MVA85A","(Intercept)",4.117747807878014,0.12555183742528686,32.797192715944085,6.456550082832765e-236,3.8716707283316234,4.363824887424404,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","TreatmentMVA85A",-0.18192184145837254,0.15133056190962735,-1.2021487210694024,0.22930591269371153,-0.478524292561451,0.11468060964470594,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","Time56",-0.42962598631030596,0.052876506953322557,-8.125082594611706,4.470578792771833e-16,-0.5332620355670998,-0.32598993705351204,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","Time365",0.1677090497000611,0.04512566896219836,3.716488942037634,2.0201047812924756e-4,0.07926436375587537,0.2561537356442468,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","GenderM",-0.40525696340918815,0.15137385564755176,-2.6771925817411955,0.007424194806589741,-0.7019442686793547,-0.1085696581390217,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time56",0.33268769702287365,0.06378093689007097,5.216099249157697,1.8273029242115163e-7,0.20767935781811245,0.4576960362276349,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time365",0.0895856787127653,0.05661044578359082,1.58249378666318,0.11353688962329554,-0.021368756171830053,0.20054011359736063,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","Time56:GenderM",0.05076408898008911,0.06391644045910398,0.794225845736353,0.4270639647045648,-0.07450983233975342,0.17603801029993163,"A",FALSE
"GrA+ %of Ki67+ gd","MVA85A","Time365:GenderM",0.12143317223727566,0.056480711973559965,2.1499936525963337,0.03155571686576492,0.010733010947917954,0.23213333352663337,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","(Intercept)",3.9554793686261336,0.12919247739420162,30.61694804842919,7.281713733864718e-206,3.7022667658599935,4.208691971392274,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","QFTPositive",0.22796027750968847,0.1579298940193395,1.4434270277023888,0.1489002149758279,-0.0815766268504445,0.5374971818698214,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","Time56",-0.09674384640629972,0.1915464065562987,-0.5050674045292783,0.613511494285822,-0.472167904624712,0.2786802118121125,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","Time365",0.34442714178372036,0.17831838239739523,1.931529083839152,0.0534176562124289,-0.005070465496615328,0.6939247490640561,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","GenderM",-0.3178491687935854,0.15921825146917123,-1.9963111380803549,0.04590006643494759,-0.6299112073546025,-0.005787130232568272,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","QFTPositive:Time56",-0.32811128956300295,0.23982487148649653,-1.3681286996185358,0.17127179470989917,-0.798159400273483,0.14193682114747708,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","QFTPositive:Time365",-0.2603488627193138,0.21440792828188698,-1.2142688230121192,0.22464508693108481,-0.6805806801516591,0.1598829547130315,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","Time56:GenderM",0.08100299728676831,0.23538786554111735,0.3441256289934741,0.7307518094994018,-0.38034874157157844,0.5423547361451151,"A",FALSE
"GrA+ %of Ki67+ gd","QFT","Time365:GenderM",0.1421121919343194,0.21423364280234974,0.6633514235923765,0.5071055091758829,-0.27777803223510455,0.5620024161037434,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","(Intercept)",4.250653804648553,0.20802070306725257,20.433801741715715,8.372262869431218e-93,3.842940718598037,4.658366890699068,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","FA1",-0.2680103551655563,0.21806587403172753,-1.229033916267715,0.21905909000610443,-0.6954116145249905,0.15939090419387775,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","FA2",-0.4717823163883466,0.3083588098207156,-1.5299783932317284,0.1260220772441869,-1.076154477952585,0.13258984517589173,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","FA3",-0.08658064115130458,0.227850284304908,-0.37998917322149506,0.7039534519698929,-0.533158992256136,0.3599977099535269,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","Time56",-0.32152287790071404,0.294740235312367,-1.0908686340701421,0.27533069055653675,-0.8992031239078138,0.25615736810638573,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","Time365",-0.0672196693657446,0.26932145482258446,-0.24958898803671456,0.802905215399458,-0.5950800210819414,0.46064068235045214,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","GenderM",-0.38762299454870774,0.17644155748290008,-2.196891707818179,0.028028181212501665,-0.7334420925913455,-0.04180389650606997,"A",FALSE
"GrA+ %of Ki67+ gd","FA - FA","FA1:Time56",0.19960824940001431,0.30566252315044007,0.6530347500330347,0.5137338759999026,-0.3994792873984886,0.7986957861985172,"A",FALSE
