"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrA+ %of Ki67+CD4","MVA85A","(Intercept)",3.8951646544976772,0.10852417198012869,35.89213889796737,4.0515295969060795e-282,3.6824611859645944,4.1078681230307605,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","TreatmentMVA85A",-0.10623184218452306,0.1298518618454719,-0.8181002619041576,0.4132999393475024,-0.3607368147271187,0.14827313035807263,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","Time56",-1.7637149335350601,0.2167864181121914,-8.135726162615509,4.094764355165309e-16,-2.1886085053723967,-1.3388213616977234,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","Time365",-0.6328742007087449,0.14767622725864568,-4.285552336059515,1.8228572686011093e-5,-0.9223142875084426,-0.3434341139090472,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","GenderM",-0.15073171383086253,0.13026640972576942,-1.1571034631888273,0.2472300919306608,-0.40604918528870876,0.10458575762698369,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time56",-0.15628175337499753,0.3071864645054732,-0.5087520819857381,0.6109260109278818,-0.7583561603439165,0.4457926535939215,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time365",0.14500114763387126,0.18240276833944657,0.7949503670033564,0.42664237413647554,-0.2125017089918468,0.5025040042595893,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","Time56:GenderM",-0.015465057350529254,0.3065936250465328,-0.0504415489662646,0.9597705272220346,-0.6163775203313109,0.5854474056302523,"A",FALSE
"GrA+ %of Ki67+CD4","MVA85A","Time365:GenderM",-0.08713844332157027,0.18202765154405445,-0.478709924467058,0.6321450044901564,-0.4439060845383237,0.26962919789518314,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","(Intercept)",3.855085979334882,0.10704490165285298,36.01372806933804,5.1008163435114336e-284,3.645281827366658,4.064890131303105,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","QFTPositive",-0.026801866936729674,0.13290825440953116,-0.20165690276952167,0.8401849569535471,-0.28729725882749757,0.2336935249540382,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","Time56",-1.8625691770404935,0.2340021214406882,-7.959625175930695,1.7256121774392158e-15,-2.3212049073702103,-1.4039334467107767,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","Time365",-0.5630112924463014,0.15468279567253487,-3.639779653570539,2.728714437491168e-4,-0.8661840009924379,-0.259838583900165,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","GenderM",-0.1535354221739833,0.13115564611810338,-1.170635246886187,0.24174542328372234,-0.4105957649345464,0.1035249205865798,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","QFTPositive:Time56",0.1694005538048707,0.2865343211888111,0.5912051062575663,0.5543830018117175,-0.39219639605983103,0.7309975036695725,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","QFTPositive:Time365",-0.007591506524243705,0.1858117289578261,-0.040855905958265736,0.9674107700216207,-0.37177580318670106,0.3565927901382136,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","Time56:GenderM",-0.10333071720124944,0.2824902523669898,-0.3657850716456228,0.714525460176183,-0.6570014378241801,0.45034000342168123,"A",FALSE
"GrA+ %of Ki67+CD4","QFT","Time365:GenderM",-0.08302904907104326,0.18342490102625367,-0.45265963675869336,0.6507938484648628,-0.44253524895032437,0.27647715080823787,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","(Intercept)",3.914053936320999,0.17633762348201634,22.196363198238128,3.723880206039539e-109,3.5684385451768623,4.259669327465136,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA1",-0.10770401298776774,0.17797213644644896,-0.6051734565774312,0.5450637504691885,-0.4565229906744559,0.24111496469892044,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA2",-0.12458958336802865,0.23884785155348276,-0.5216273981854536,0.6019297832303583,-0.592722770197624,0.34354360346156665,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA3",-0.03712642754428972,0.19492274304908727,-0.19046739730591722,0.8489428886953818,-0.41916798368825586,0.3449151285996764,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","Time56",-1.9343343097330328,0.37895277782496756,-5.104420452688888,3.3180980937867783e-7,-2.6770681061113777,-1.1916005133546876,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","Time365",-0.7207120309586131,0.23162625760862443,-3.1115299206551525,0.001861206117067586,-1.1746911537453135,-0.2667329081719127,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","GenderM",-0.16932344394287388,0.14546802813616497,-1.1639907828019715,0.24442774710560042,-0.4544355399918164,0.11578865210606862,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA1:Time56",0.19589475266894538,0.37052744721802094,0.5286916101351044,0.597019398200793,-0.5303256991619413,0.9221152044998321,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA2:Time56",-0.36273283574061604,0.5354565693673252,-0.6774271836261289,0.49813495581460904,-1.4122084269859465,0.6867427555047143,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA3:Time56",0.32685286776430594,0.43877648231781236,0.7449188389444299,0.4563207856665801,-0.5331332348417819,1.1868389703703939,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA1:Time365",0.220311386149952,0.245369534989513,0.8978758759084253,0.3692517272063578,-0.260604065332834,0.701226837632738,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA2:Time365",0.22812833193181364,0.3255902434508759,0.7006608352692638,0.4835147030908022,-0.4100168189495312,0.8662734828131584,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","FA3:Time365",0.1335257993884536,0.26337505255865223,0.5069796781861794,0.6121690775118239,-0.3826798180528485,0.6497314168297557,"A",FALSE
"GrA+ %of Ki67+CD4","FA - FA","Time56:GenderM",-0.02902226526387313,0.3168576110327925,-0.09159402915800414,0.9270205955507459,-0.6500517711155475,0.5920072405878013,"A",FALSE
