"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrB+ %of Ki67+ NK","MVA85A","(Intercept)",3.2531256185356607,0.1514446233127283,21.480628016869645,2.3629031470853605e-102,2.9562996111904782,3.5499516258808432,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","TreatmentMVA85A",-0.023121183341560082,0.17649564134676665,-0.1310014409711861,0.8957741674994164,-0.3690462838095211,0.3228039171264009,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","Time56",0.38581302497692177,0.18592990865737608,2.075045525289221,0.0379823156923264,0.021397100359642762,0.7502289495942007,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","Time365",0.7231145658734517,0.17866756957396765,4.047262564760445,5.1820102916240155e-5,0.3729325643031708,1.0732965674437325,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","GenderM",0.06623316584164643,0.17550899595345681,0.37737761236586864,0.7058930018381917,-0.27775814518991493,0.41022447687320784,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time56",-0.40705008998763215,0.2146545533987764,-1.8963030764664528,0.057919979713086246,-0.8277652837667637,0.013665103791499378,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time365",-0.030915594349587572,0.20703628788704226,-0.14932452018486214,0.8812975678694709,-0.43669926210105653,0.3748680734018814,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","Time56:GenderM",0.15193101172585688,0.2164425729196421,0.7019460620728427,0.4827128015514714,-0.272288635917826,0.5761506593695398,"A",TRUE
"GrB+ %of Ki67+ NK","MVA85A","Time365:GenderM",0.07966802807088763,0.20653313245912752,0.385739697656761,0.6996894594172551,-0.32512947316324264,0.4844655293050179,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","(Intercept)",3.284320622630355,0.14907916715307035,22.03071485674525,1.462471168869097e-107,2.9921308241651103,3.5765104210955996,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","QFTPositive",-0.09553901685621653,0.1824877875526617,-0.5235364959896082,0.6006009605228895,-0.45320850807783014,0.2621304743653971,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","Time56",0.15430218955207994,0.1870152140207265,0.8250782716264944,0.4093271547355684,-0.21224089448959402,0.5208452735937539,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","Time365",0.6837921571060235,0.18540212622397484,3.688157040227085,2.25884228639509e-4,0.3204106670498838,1.047173647162163,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","GenderM",0.05991085189199787,0.17845947994409378,0.33571123210022924,0.7370886349346786,-0.28986330149817396,0.40968500528216967,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","QFTPositive:Time56",0.2013453209650695,0.22387196907557405,0.8993770939545358,0.36845183583080987,-0.2374356755711203,0.6401263175012593,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","QFTPositive:Time365",0.07404189170165754,0.21745336624237788,0.34049549556813463,0.7334834143831801,-0.352158874450401,0.500242657853716,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","Time56:GenderM",0.10657641811768294,0.220645777404398,0.48302042926636407,0.6290812307238499,-0.3258813589357787,0.5390341951711446,"A",TRUE
"GrB+ %of Ki67+ NK","QFT","Time365:GenderM",0.07187138546044027,0.21339124660187878,0.33680568722919435,0.7362633855323277,-0.3463677724953472,0.49011054341622773,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","(Intercept)",2.9887441134085098,0.24580600325273042,12.158954923226883,5.141218662483998e-34,2.5069731998494227,3.470515026967597,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA1",-0.05234392954983633,0.24381747868700857,-0.21468489392850648,0.8300130008802663,-0.5302174065777352,0.4255295474780626,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA2",0.440075262436202,0.3192638976401172,1.3784059697606854,0.1680779812842831,-0.1856704785023099,1.065821003374714,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA3",0.41754079438438635,0.26249674590134586,1.59065131626931,0.11168806887516754,-0.09694337364121347,0.9320249624099861,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","Time56",0.441521724701513,0.29349839239049325,1.5043412030484922,0.13249353509741343,-0.13372455390425825,1.0167680033072843,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","Time365",0.9697689953720559,0.2833147125483291,3.4229390582976817,6.194796408621077e-4,0.41448236248701287,1.5250556282570988,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","GenderM",0.23879870725297603,0.19650842778859678,1.2152084770118614,0.22428658810229546,-0.14635073387126352,0.6239481483772156,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA1:Time56",0.00831176933601648,0.29176689882417634,0.028487704977888162,0.9772731740570852,-0.5635408442403108,0.5801643829123438,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA2:Time56",-0.49006352844229395,0.4043206662871252,-1.2120664841165432,0.22548693206751247,-1.2825174725702972,0.30239041568570935,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA3:Time56",-0.21885360514561494,0.31728545224316734,-0.6897687984064448,0.49033959314558095,-0.840721664360726,0.4030144540694962,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA1:Time365",0.003458136357254738,0.2839566339799771,0.012178396076841031,0.9902832859819104,-0.5530866394147227,0.5600029121292323,"A",TRUE
"GrB+ %of Ki67+ NK","FA - FA","FA2:Time365",-0.49956236563291856,0.3879202101629268,-1.2877966977361193,0.19781674211705022,-1.2598720064274636,0.26074727516162655,"A",TRUE
