"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrB+ %of Ki67+ gd","MVA85A","(Intercept)",3.893798922156652,0.1332316834399457,29.225772891414262,9.125633059887914e-188,3.632669621014717,4.154928223298587,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","TreatmentMVA85A",0.023522773879255665,0.16243711176809342,0.14481157429614006,0.8848596435900394,-0.2948481149389147,0.34189366269742605,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","Time56",-0.05267586450636433,0.16936001000783465,-0.3110289406804329,0.7557786205437557,-0.3846153845430633,0.2792636555303346,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","Time365",0.14172763212247372,0.16284538338658375,0.870320233678483,0.38412542444803793,-0.1774434543638476,0.46089871860879505,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","GenderM",-0.3059903367087122,0.16357518309623845,-1.8706403435824654,0.061394948732547715,-0.6265918043418846,0.014611130924460147,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time56",0.07338611241730168,0.20651573268648182,0.3553536162240554,0.7223246930402349,-0.3313772858891038,0.4781495107237072,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time365",-0.12536495262521422,0.20401247886032303,-0.6144964922025442,0.5388872903498928,-0.5252220635881863,0.274492158337758,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","Time56:GenderM",0.15798818353551486,0.2078583723176996,0.7600761122772528,0.44720909047225155,-0.24940674009229363,0.5653831071633233,"A",FALSE
"GrB+ %of Ki67+ gd","MVA85A","Time365:GenderM",0.16509264682482405,0.20365150662455334,0.8106625360213249,0.4175594934362348,-0.23405697155662064,0.5642422652062687,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","(Intercept)",3.873280674819925,0.13176950781247254,29.394362467621683,6.482763819126569e-190,3.6150171852469097,4.131544164392941,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","QFTPositive",0.0726915827142058,0.16376067578281203,0.44388912275015996,0.6571227490706391,-0.24827344390404638,0.39365660933245794,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","Time56",-0.08096393907802299,0.1709039310107098,-0.4737394780752546,0.6356856976707745,-0.4159294886753322,0.25400161051928627,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","Time365",0.015119008046956761,0.1730977144045952,0.08734377631132603,0.9303982584922307,-0.3241462779922499,0.3543842940861634,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","GenderM",-0.2970889610900275,0.1628374967091932,-1.8244505540427838,0.06808398513902428,-0.6162445899727057,0.02206666779265065,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","QFTPositive:Time56",0.13761855393996658,0.20734687349196712,0.6637117387993704,0.506874824719264,-0.2687738504112717,0.5440109582912049,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","QFTPositive:Time365",0.14412131322116623,0.2046932535066584,0.7040843347408035,0.4813802551424264,-0.25707009153021126,0.5453127179725437,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","Time56:GenderM",0.17409146483879942,0.20577901220699407,0.8460117626751945,0.39754618239223083,-0.229227987861137,0.5774109175387359,"A",FALSE
"GrB+ %of Ki67+ gd","QFT","Time365:GenderM",0.17530333894601452,0.20444676244896118,0.8574522621250991,0.3911949867658735,-0.22540495220976525,0.5760116301017943,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","(Intercept)",3.959034314868184,0.21803632740984408,18.157682079401226,1.116397603069478e-73,3.5316909658235063,4.386377663912862,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA1",0.008459453672849867,0.22342896151726563,0.0378619388256708,0.9697977596928028,-0.4294532640041763,0.4463721713498761,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA2",-0.26792262226184127,0.31126670771987797,-0.8607493690040122,0.38937609607702833,-0.8779941589791576,0.342148914455475,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA3",-0.04419871568124013,0.2414698766749236,-0.18304028763282226,0.8547664076223278,-0.5174709773154187,0.42907354595293845,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","Time56",-0.07932518067685222,0.2643554861404519,-0.3000701132970125,0.7641236754702263,-0.5974524126277153,0.43880205127401084,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","Time365",0.021474626507522725,0.26025447176933386,0.08251395782569262,0.9342380194439875,-0.48861476497586775,0.5315640179909132,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","GenderM",-0.33249864385993594,0.17830142330616028,-1.8648120564298838,0.06220775275652435,-0.6819630119322406,0.01696572421236875,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA1:Time56",0.15538610198663513,0.2691817170921254,0.5772535507434015,0.5637681866004443,-0.3722003688105804,0.6829725727838507,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA2:Time56",0.35134040458207244,0.38441059163364993,0.9139717068901838,0.36073171266910986,-0.40209051029561543,1.1047713194597604,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA3:Time56",-0.15349298567750796,0.30856448867006,-0.49744215978668255,0.6188772813802339,-0.758268270378843,0.45128229902382705,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA1:Time365",0.17144275720863883,0.27265888229526297,0.6287811193437779,0.5294923624149126,-0.3629588321550223,0.7058443465722999,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA2:Time365",0.43175218484791816,0.3734327615700374,1.1561711485427422,0.24761115850350435,-0.3001625784766882,1.1636669481725246,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","FA3:Time365",-0.07740077756825996,0.30002643248383487,-0.25797986173244997,0.7964224493034181,-0.6654417796466143,0.5106402245100945,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","Time56:GenderM",0.15681284210047708,0.22222497835090613,0.7056490375841572,0.48040642072953654,-0.27874011193249204,0.5923657961334462,"A",FALSE
"GrB+ %of Ki67+ gd","FA - FA","Time365:GenderM",0.12422957173071576,0.2217292221533685,0.5602760453684679,0.575291164032227,-0.3103517180099671,0.5588108614713986,"A",FALSE
"GrB+ %of Ki67+ gd","FA - BA","(Intercept)",3.9148368108852005,0.14825954448990034,26.405293664934234,1.191207479390788e-153,3.624253443320682,4.205420178449719,"A",FALSE
"GrB+ %of Ki67+ gd","FA - BA","FA0",0.0441889758785318,0.24146967040834288,0.1830001084765843,0.8547979335027893,-0.4290828814805774,0.517460833237641,"A",FALSE
"GrB+ %of Ki67+ gd","FA - BA","FA1",0.05266404373127013,0.2020437138399263,0.26065668033104167,0.7943572755079507,-0.3433343586977022,0.4486624461602425,"A",FALSE
"GrB+ %of Ki67+ gd","FA - BA","FA2",-0.2237436989899441,0.2870848016058362,-0.7793644865155256,0.43576503750481127,-0.7864195706462096,0.3389321726663215,"A",FALSE
"GrB+ %of Ki67+ gd","FA - BA","Time56",-0.2328155010814126,0.21088030970556784,-1.1040172570235258,0.2695856518713593,-0.6461333131529778,0.18050231099015265,"A",FALSE
