"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrB+ %of Ki67+CD4","MVA85A","(Intercept)",2.803357640575505,0.15603021654936342,17.966761199030987,3.548353465693077e-72,2.4975440356387675,3.109171245512243,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","TreatmentMVA85A",0.28148799253449935,0.1801150572383769,1.562823213397192,0.1180941825733793,-0.07153103272608963,0.6345070177950883,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","Time56",-0.6213588105691444,0.22103963932119605,-2.8110741244299557,0.004937640912910813,-1.0545885427944122,-0.1881290783438767,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","Time365",0.014224596603959975,0.18882602943313498,0.07533175720880703,0.9399507546620172,-0.3558676204286847,0.38431681363660464,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","GenderM",0.17278175515909505,0.17985023965184432,0.9606979423189399,0.3367040661445459,-0.17971823716941732,0.5252817474876075,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time56",-0.08940116785888119,0.2724509264998566,-0.32813677313344813,0.7428082509547016,-0.6233951713531694,0.44459283563540697,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time365",-0.2771766943696455,0.22702421595946273,-1.2209124616870737,0.22211916566206702,-0.7221359812686357,0.16778259252934474,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","Time56:GenderM",-0.35537188048967705,0.2707645196073752,-1.312475803716778,0.1893596448297193,-0.8860605872114216,0.17531682623206746,"A",FALSE
"GrB+ %of Ki67+CD4","MVA85A","Time365:GenderM",-0.1511711891846221,0.22676555276567345,-0.6666408867701072,0.5050015459084592,-0.5956235055396593,0.293281127170415,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","(Intercept)",2.9247436255099553,0.15430109694574276,18.954781809091024,4.032227387159569e-80,2.6223190327212764,3.227168218298634,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","QFTPositive",0.03918350053560316,0.18275732303590292,0.21440180828160582,0.830233731647381,-0.31901427052571885,0.39738127159692516,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","Time56",-0.7492613828117696,0.22699765922996765,-3.300744973994225,9.642848991019819e-4,-1.1941686194774022,-0.30435414614613693,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","Time365",-0.231511463470151,0.20567417984622682,-1.125622397732382,0.26032538351745704,-0.6346254485185694,0.17160252157826733,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","GenderM",0.1966144799917759,0.1798317014123032,1.0933249168398542,0.274251166613777,-0.15584917805489906,0.5490781380384508,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","QFTPositive:Time56",0.15516765809567556,0.26483563088945183,0.5859017443179537,0.5579415450623956,-0.3639006402705933,0.6742359564619445,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","QFTPositive:Time365",0.2244788822547786,0.23005290984025958,0.9757706712366674,0.32917812179217165,-0.22641653557077027,0.6753743000803275,"A",FALSE
"GrB+ %of Ki67+CD4","QFT","Time56:GenderM",-0.3175395108037686,0.2617570439403779,-1.2131077965416532,0.22508860954868914,-0.8305738896265775,0.19549486801904042,"A",FALSE
