"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrK+ %of Ki67+ NK","MVA85A","(Intercept)",3.88778491497306,0.13228844405233398,29.3886963659126,7.658948219164858e-190,3.6285043290596435,4.147065500886477,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","TreatmentMVA85A",-0.1412379427918126,0.15906655918839632,-0.8879172562256297,0.37458526168003065,-0.4530026699457781,0.17052678436215293,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","Time56",-0.3786656114229066,0.18265571407656658,-2.073111226425556,0.0381619294586674,-0.7366642325834227,-0.02066699026239044,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","Time365",-0.869280409603671,0.20458221698847429,-4.249051664410521,2.146774073418535e-5,-1.270254186778439,-0.46830663242890314,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","GenderM",-0.15344718205291702,0.1589767536015226,-0.9652177351509797,0.3344357657072254,-0.4650358934909996,0.15814152938516557,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time56",0.35764785276460664,0.2127226574881833,1.681287066397588,0.09270716885685747,-0.05928089460788216,0.7745766001370955,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time365",0.16148340471367356,0.24942365131171104,0.6474261918003263,0.5173561490572426,-0.32737796874975655,0.6503447781771037,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","Time56:GenderM",0.1533063866419236,0.2153821172301657,0.7117879079909611,0.4765961216623428,-0.26883480604318494,0.5754475793270322,"A",FALSE
"GrK+ %of Ki67+ NK","MVA85A","Time365:GenderM",0.14802150812264578,0.24916233583989877,0.5940765791253385,0.5524608949029128,-0.3403276964274292,0.6363707126727208,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","(Intercept)",3.8073432540145964,0.13355989982736022,28.506634543272163,9.69364133650347e-179,3.5455706605741932,4.0691158474549995,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","QFTPositive",0.033455782371144466,0.1624838679746562,0.20590217840187564,0.8368673237913399,-0.2850067469279427,0.3519183116702316,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","Time56",-0.13000804216169862,0.17952843974513866,-0.7241640508114483,0.4689650258415383,-0.4818773182628395,0.22186123393944227,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","Time365",-0.8107213816075798,0.2153145857209111,-3.7652877945687795,1.663573582695535e-4,-1.2327302149667276,-0.38871254824843193,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","GenderM",-0.15337237330734818,0.15997248031295486,-0.9587422349600703,0.3376886160006903,-0.46691267323828245,0.16016792662358612,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","QFTPositive:Time56",-0.2627204001325248,0.22030747106434734,-1.1925169803060809,0.23305859670325085,-0.6945151089437456,0.169074308678696,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","QFTPositive:Time365",0.021651579672516536,0.2527456634495406,0.0856654843331829,0.9317323407417553,-0.47372081793726445,0.5170239772822975,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","Time56:GenderM",0.1909038238138743,0.2149153469756723,0.8882745066851088,0.3743931093194809,-0.23032251598337253,0.6121301636111212,"A",FALSE
"GrK+ %of Ki67+ NK","QFT","Time365:GenderM",0.1603422480293614,0.2507096544597718,0.6395535440183437,0.5224628928315658,-0.3310396452882729,0.6517241413469957,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","(Intercept)",3.5945006186484285,0.21801605102545488,16.487321010271604,4.5257580984650914e-61,3.1671970105868903,4.021804226709967,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","FA1",0.195592093257686,0.22058617569486283,0.886692435015732,0.3752445123561044,-0.23674886659166966,0.6279330531070417,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","FA2",-0.12118392413309682,0.31135745649975743,-0.38921156890036207,0.6971196461201752,-0.7314333251906179,0.4890654769244242,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","FA3",0.4136805512035026,0.23106249558275493,1.7903405317257257,0.07339918412525649,-0.03919361831664231,0.8665547207236475,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","Time56",-0.12210285307728927,0.28476077198888194,-0.42879098909753127,0.668075337039079,-0.68022371038532,0.43601800423074144,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","Time365",-0.5196731089008013,0.316820194158867,-1.640277730024417,0.10094743386291286,-1.1406292790271677,0.10128306122556496,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","GenderM",-0.06543200764869614,0.16810667710711588,-0.3892290822392707,0.6971066918531956,-0.3949150403393472,0.2640510250419549,"A",FALSE
"GrK+ %of Ki67+ NK","FA - FA","FA1:Time56",-0.08912067035938859,0.2842520925822442,-0.3135268752106119,0.7538804057366432,-0.6462445343507321,0.46800319363195503,"A",FALSE
