"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrK+ %of Ki67+ gd","MVA85A","(Intercept)",3.8936235565975865,0.15041212523958264,25.886367541151767,9.483817390821855e-148,3.5988212082898765,4.188425904905296,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","TreatmentMVA85A",-0.2503537163290107,0.19477001734826777,-1.2853811882213568,0.19865911163517502,-0.632095935599857,0.13138850294183552,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","Time56",-0.24489347775257939,0.2146701192194646,-1.140789778488996,0.25395741521447285,-0.6656391799796496,0.1758522244744908,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","Time365",0.025653602670905298,0.2049477771983562,0.12517141206209215,0.9003878490859,-0.37603665934941205,0.4273438646912226,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","GenderM",-0.5797020601822023,0.1989606996273565,-2.913651094251053,0.003572289183997935,-0.9696578657907127,-0.18974625457369187,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time56",0.41529425435612466,0.26782300217761074,1.5506295238999532,0.12099049263921531,-0.10962918414338474,0.9402176928556341,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time365",-0.002830878518144896,0.26980669664557916,-0.010492247054429369,0.9916285516657084,-0.5316422867312037,0.5259805296949139,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","Time56:GenderM",0.34649235466261685,0.27110893125245855,1.2780558466366447,0.20122973568955055,-0.1848713864793473,0.877856095804581,"A",FALSE
"GrK+ %of Ki67+ gd","MVA85A","Time365:GenderM",0.3346245756515849,0.26922321414575684,1.2429261596677168,0.2138950448425959,-0.19304322787621286,0.8622923791793826,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","(Intercept)",3.7204429647382096,0.1558801143578464,23.86733535617872,6.691400759164153e-126,3.4149235546908456,4.025962374785573,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","QFTPositive",0.12905932394466438,0.1975415937632061,0.6533273397569542,0.5135452705484382,-0.2581150852798616,0.5162337331691904,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","Time56",-0.03136217820717231,0.21661380094722044,-0.1447838414266778,0.8848815404619639,-0.4559174266180525,0.3931930702037079,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","Time365",0.010432617586862165,0.22412075907983242,0.04654909089945585,0.9628726075853722,-0.4288359983973876,0.4497012335711119,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","GenderM",-0.5745773015018574,0.2010000488753465,-2.858592844712147,0.004255245642135481,-0.968530158188327,-0.1806244448153877,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","QFTPositive:Time56",-0.06288008466720105,0.2718185057286974,-0.23133113949924286,0.8170575568549012,-0.5956345662269422,0.46987439689254007,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","QFTPositive:Time365",0.05184092101065188,0.2701467555462572,0.19189910649056513,0.8478212373535999,-0.47763699040035823,0.5813188324216619,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","Time56:GenderM",0.36864195280311557,0.2716744626382791,1.3569253039949647,0.1748049457696523,-0.1638302094871839,0.901114115093415,"A",FALSE
"GrK+ %of Ki67+ gd","QFT","Time365:GenderM",0.3332639528308613,0.2726478637286304,1.2223237265580147,0.22158523020907736,-0.20111604053903875,0.8676439462007614,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","(Intercept)",3.933480864277975,0.26314009173512537,14.948238553619507,1.5992353681746004e-50,3.4177357615885633,4.449225966967386,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","FA1",0.011607084201970342,0.271678435432714,0.04272361250712901,0.9659218566933686,-0.5208728646223395,0.5440870330262801,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","FA2",-0.5355675940970674,0.39181960825696677,-1.3668728741769007,0.17166515574763214,-1.3035199147173149,0.23238472652317999,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","FA3",-0.20080470634948647,0.2961792497730342,-0.677983709200984,0.49778202239342484,-0.7813053688727264,0.3796959561737535,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","Time56",-0.18841976579267242,0.34599282297531814,-0.5445770931673736,0.5860444128691987,-0.8665532377336383,0.48971370614829357,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","Time365",-0.25455888042999825,0.34116709596283146,-0.7461413584202482,0.4555820278067439,-0.9232341012272682,0.4141163403672717,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","GenderM",-0.676970651371726,0.21890664972237228,-3.0925083921858563,0.0019847262179882585,-1.1060198008039006,-0.24792150193955137,"A",FALSE
"GrK+ %of Ki67+ gd","FA - FA","FA1:Time56",0.18832083971553076,0.3514799407950206,0.5357939895220294,0.5921009366199793,-0.5005671855309799,0.8772088649620415,"A",FALSE
