"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"GrK+ %of Ki67+CD4","MVA85A","(Intercept)",3.0216856453665346,0.22325253803371797,13.53483222175135,9.740458506540249e-42,2.584118711363289,3.4592525793697804,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","TreatmentMVA85A",-0.36213767895466187,0.2683304932375525,-1.3495956966548042,0.1771457053014334,-0.8880557816541331,0.1637804237448094,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","Time56",-2.8552259805289784,0.34470800854998723,-8.283027692160314,1.200824845532419e-16,-3.5308412624694783,-2.1796106985884784,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","Time365",-2.13096456937817,0.28484495776270125,-7.481138462536644,7.368149637998665e-14,-2.6892504277708973,-1.5726787109854428,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","GenderM",-0.4109829924257177,0.26874583272939484,-1.529262754520715,0.12619931898569436,-0.9377151455705571,0.11574916071912178,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time56",0.038506827520386894,0.44492498744130654,0.08654678565443939,0.9310317659905422,-0.8335301236865096,0.9105437787272834,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time365",0.7318501633176564,0.3555368986833773,2.0584365955484247,0.03954824182925408,0.03501064672317089,1.428689679912142,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","Time56:GenderM",0.47248081577905565,0.44378569133398493,1.06465986850278,0.2870298769329421,-0.39732315608976376,1.3422847876478752,"A",FALSE
"GrK+ %of Ki67+CD4","MVA85A","Time365:GenderM",0.6016773939819222,0.35599329214790154,1.6901368853094805,0.09100176965177247,-0.09605663736581027,1.2994114253296547,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","(Intercept)",2.8719670319078987,0.2258745445216884,12.71487691536721,4.888787049622661e-37,2.4292610596210005,3.314673004194797,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","QFTPositive",-0.04889803833010665,0.2762824616406113,-0.17698567632466405,0.8595196406028035,-0.5904017127057737,0.4926056360455604,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","Time56",-2.5833487651555087,0.3532682566392759,-7.312711279896795,2.618051596660614e-13,-3.2757418250497423,-1.890955705261275,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","Time365",-2.2922052655323766,0.30662244579063114,-7.475660366682833,7.681711696597035e-14,-2.8931742161335987,-1.6912363149311544,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","GenderM",-0.4311898561979538,0.2722052478212318,-1.5840615111180136,0.11317972200163295,-0.964702338330368,0.1023226259344604,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","QFTPositive:Time56",-0.5619598318510136,0.4436989486987603,-1.2665340621136876,0.2053219425288053,-1.4315937912788685,0.3076741275768414,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","QFTPositive:Time365",0.7951855151126198,0.3474780419107263,2.2884482447869847,0.022111430825520178,0.11414106754909703,1.4762299626761426,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","Time56:GenderM",0.3520315221629044,0.4252908456345609,0.8277430040556153,0.4078160591620386,-0.4815232182354184,1.1855862625612272,"A",FALSE
"GrK+ %of Ki67+CD4","QFT","Time365:GenderM",0.8156841774778704,0.34762862268323974,2.3464240981707776,0.01895452636549574,0.1343445970234569,1.4970237579322838,"A",FALSE
