"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"Perf+ %of Ki67+ NK","MVA85A","(Intercept)",3.2461941226094493,0.14544715885117915,22.318718002122957,2.4316231525612447e-110,2.961122929607462,3.5312653156114364,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","TreatmentMVA85A",0.1191115493413607,0.1674011947690148,0.711533448167526,0.47675373127104614,-0.20898876337488315,0.44721186205760455,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","Time56",0.5967483483895968,0.17897620544127277,3.33423287703687,8.553501278238516e-4,0.24596143163506057,0.947535265144133,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","Time365",0.6980095583270131,0.17572389163629162,3.9721949692062,7.121339515784503e-5,0.3535970594966623,1.042422057157364,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","GenderM",0.053509960080160256,0.1674110216296679,0.3196322414095909,0.7492471304157609,-0.27460961292904473,0.3816295330893652,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time56",-0.44836575575731064,0.2095027342037738,-2.140142740672805,0.03234323290318698,-0.8589835694593749,-0.03774794205524634,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","TreatmentMVA85A:Time365",-0.25264693812008715,0.204638282554736,-1.2346025140848704,0.21697847288600083,-0.6537306017855009,0.1484367255453266,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","Time56:GenderM",-0.03968962499634955,0.21068855994891278,-0.1883805414303149,0.8505783523089688,-0.45263161445082656,0.3732523644581275,"A",TRUE
"Perf+ %of Ki67+ NK","MVA85A","Time365:GenderM",0.10662429039943123,0.20458570437820622,0.5211717540259843,0.6022471290315798,-0.29435632193361133,0.5076049027324738,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","(Intercept)",3.3681644200422682,0.13898769205428088,24.233544497787978,9.86011510849072e-130,3.095753549321534,3.6405752907630027,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","QFTPositive",-0.15013371166157707,0.1729603230424886,-0.8680240012311723,0.38538119355888173,-0.4891297155792679,0.18886229225611373,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","Time56",0.24863313711298543,0.1777761239523346,1.3985744068739456,0.1619406455087499,-0.09980166314471875,0.5970679373706896,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","Time365",0.5371641533369603,0.17764365568431142,3.023829650812573,0.002495969373619574,0.18898898611367598,0.8853393205602447,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","GenderM",0.050916649294126835,0.16859523212838626,0.3020052741192201,0.762648042405373,-0.27952393364268036,0.381357232230934,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","QFTPositive:Time56",0.4148690500694556,0.2133918822385104,1.944165099990786,0.05187554489505955,-0.003371353711237146,0.8331094538501485,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","QFTPositive:Time365",0.1313641410371851,0.21018824784663157,0.6249832822862571,0.5319820303569903,-0.2805972547157912,0.5433255367901615,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","Time56:GenderM",-0.08649544617092052,0.21057751204428646,-0.410753481372359,0.6812533066635429,-0.49921978573177134,0.3262288933899303,"A",TRUE
"Perf+ %of Ki67+ NK","QFT","Time365:GenderM",0.08784933870028401,0.20628450437159743,0.4258649430207986,0.6702062612986639,-0.3164608604367422,0.4921595378373102,"A",TRUE
"Perf+ %of Ki67+ NK","FA - FA","(Intercept)",3.313456582483536,0.2233803219481513,14.833251888913567,8.930002509224864e-50,2.8756391966101975,3.7512739683568745,"A",TRUE
"Perf+ %of Ki67+ NK","FA - FA","FA1",0.07495460779542354,0.22051052256644874,0.3399139729163568,0.7339213136631567,-0.3572380746469227,0.5071472902377698,"A",TRUE
"Perf+ %of Ki67+ NK","FA - FA","FA2",0.2586240594493896,0.2912960886377895,0.8878391078260383,0.3746273030609082,-0.3123057831180649,0.8295539020168441,"A",TRUE
