"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"Perf+ %of Ki67+ gd","MVA85A","(Intercept)",3.621194896769258,0.16989742739529165,21.314006646751686,8.417472939536487e-101,3.2882020580084776,3.9541877355300383,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","TreatmentMVA85A",-0.12708090142820075,0.21208577592904998,-0.5991957776117607,0.5490423381476035,-0.5427613838823705,0.28859958102596905,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","Time56",-0.4226603687219689,0.2221230193434132,-1.9028211032397098,0.05706389257740994,-0.8580134867723523,0.012692749328414632,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","Time365",0.19944464767949444,0.197245499612326,1.0111492940091953,0.311944980338616,-0.18714942767327358,0.5860387230322625,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","GenderM",-0.5308900423394691,0.2152976809794735,-2.4658418981767123,0.01366916534081796,-0.9528657430142313,-0.10891434166470693,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time56",0.4160912657408247,0.2704337827040706,1.538606832254178,0.12390030957465291,-0.11394920856208451,0.9461317400437339,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","TreatmentMVA85A:Time365",0.09413060075541627,0.24722713457298398,0.3807454263384182,0.7033921578104463,-0.3904256790086694,0.578686880519502,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","Time56:GenderM",0.3748490393363638,0.27386946509557625,1.368714249343377,0.17108861437568532,-0.16192524871621494,0.9116233273889426,"A",FALSE
"Perf+ %of Ki67+ gd","MVA85A","Time365:GenderM",0.4108043921671186,0.2490591585589937,1.6494249580860643,0.09906060511120615,-0.07734258862835963,0.8989513729625969,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","(Intercept)",3.460712452583575,0.174496174510251,19.83259783371509,1.5578239754973334e-87,3.118706235103467,3.8027186700636832,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","QFTPositive",0.2103582612053086,0.2150389093092291,0.9782334828661652,0.3279588598104426,-0.2111102563155553,0.6318267787261724,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","Time56",-0.15568419715479506,0.2260223150577682,-0.6888001174353263,0.4909490617379138,-0.5986797943703858,0.2873114000607957,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","Time365",0.3104470114875074,0.2127834833773089,1.4589807750116628,0.14457039914439454,-0.10660095243699519,0.72749497541201,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","GenderM",-0.504971183741934,0.21707756208711967,-2.3262246861758746,0.020006567381961125,-0.930435387284446,-0.07950698019942198,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","QFTPositive:Time56",-0.19203352005364646,0.2765326933312783,-0.6944333335067756,0.48741049550040677,-0.7340276395308114,0.3499605994235184,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","QFTPositive:Time365",-0.1327640393785656,0.2528460647066547,-0.5250785276511813,0.59952860226805,-0.6283332198362928,0.3628051410791616,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","Time56:GenderM",0.41336216252220215,0.27522730644430143,1.5018937178235818,0.13312455931993852,-0.1260734456705973,0.9527977707150016,"A",FALSE
"Perf+ %of Ki67+ gd","QFT","Time365:GenderM",0.3980803495673146,0.2549116269634743,1.5616406136874823,0.11837267612172503,-0.10153725852160428,0.8976979576562334,"A",FALSE
