"Outcome","Group","Coefficient","Estimate","Std..Error","z.value","Pr...z..","LowerCI","UpperCI","Arm","Reflected"
"Perf+ %of Ki67+CD4","MVA85A","(Intercept)",1.3501235738023791,0.20874892863389533,6.467691032657854,9.951169950119784e-11,0.9409831918686223,1.7592639557361358,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","TreatmentMVA85A",-0.03347247806678616,0.24446788210982376,-0.13691973676832164,0.8910942380739738,-0.5126207223788244,0.4456757662452521,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","Time56",-1.3318334699454673,0.306080406309013,-4.351253600339492,1.3536137998618758e-5,-1.931740042684519,-0.7319268972064156,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","Time365",-0.7523654117812372,0.2533326446641186,-2.969871540948707,0.0029792430185528154,-1.2488882714311926,-0.25584255213128176,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","GenderM",0.005640321774927891,0.24354535885771225,0.023159225046957947,0.9815232635749901,-0.47169981018807106,0.48298045373792686,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time56",-0.511023543167733,0.4042559187081655,-1.2641089951156501,0.20619090847773067,-1.3033505843728892,0.28130349803742305,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","TreatmentMVA85A:Time365",0.24302465490121758,0.29831840215258265,0.8146485538525925,0.41527350935802115,-0.34166866924338035,0.8277179790458156,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","Time56:GenderM",-0.26012385338022515,0.4006934291222586,-0.6491842253316732,0.5162193066244448,-1.0454685433017046,0.5252208365412543,"A",FALSE
"Perf+ %of Ki67+CD4","MVA85A","Time365:GenderM",0.10143711961377572,0.29861228998739514,0.3396950594969066,0.7340861826925813,-0.48383221410254923,0.6867064533301006,"A",FALSE
"Perf+ %of Ki67+CD4","QFT","(Intercept)",1.3842584117113463,0.2013341516721315,6.8754277414672424,6.180412866289821e-12,0.989650725576044,1.7788660978466486,"A",FALSE
"Perf+ %of Ki67+CD4","QFT","QFTPositive",-0.10166802101429163,0.2495161587812079,-0.40746066912420215,0.6836696755616068,-0.5907107057862365,0.3873746637576533,"A",FALSE
"Perf+ %of Ki67+CD4","QFT","Time56",-1.5255313581855623,0.3188328292811968,-4.784737386124406,1.7121103923247314e-6,-2.1504322206657154,-0.9006304957054092,"A",FALSE
"Perf+ %of Ki67+CD4","QFT","Time365",-0.8534899371293733,0.2709736829728016,-3.149715233471733,0.0016342967621494364,-1.3845885965142388,-0.3223912777445077,"A",FALSE
"Perf+ %of Ki67+CD4","QFT","GenderM",-0.007763754979805801,0.2440759617627387,-0.03180876528657414,0.9746245564870403,-0.48614384952674894,0.47061633956713733,"A",FALSE
